csrn_id,title,project_name,project_number,country,sector,consulting_type,engagement_type,selection_method,budget_range,duration,deadline,published_date,status,executing_agency,description,terms_of_reference,detail_url,scraped_at
,Next 25,,,,,,,,,,,,,,,,https://selfservice.adb.org/OA_HTML/OA.jsp?OAFunc=XXCRS_CSRN_HOME_PAGE#,2026-01-12T15:03:27.017562
,Next 25,,,,,,,,,,,,,,,,https://selfservice.adb.org/OA_HTML/OA.jsp?OAFunc=XXCRS_CSRN_HOME_PAGE#,2026-01-12T15:03:27.017635
,TA-6645 REG: Strengthening Resilience and Stability of Banking and Nonbank Financial Systems in Asia - legal framework for asset-backed securitization (ABS) in VIE (54087-001),,,,,Firm,,,,,,,,,,,https://www.adb.org/projects/54087-001/main,2026-01-12T15:03:27.017639
,GRANT-0869 CAM: Sustainable Coastal and Marine Fisheries Project - SCMFP FIA/CS-17 Gender Support: Childcare Contract including Infrastructure and Service Support: Facilities Outfitting of Childcare Equipment (53261-001),,,,,Firm,,,,,,,,,,,https://www.adb.org/projects/53261-001/main,2026-01-12T15:03:27.017642
,LOAN-4239 PRC: Yellow River Basin Green Farmland and High-Quality Agriculture Development Project - GS-PPMO-CS-02 Carbon Emission Monitoring of High-Standard Farmland in Pilot Counties and Districts of Gansu Province (54027-002),,,,,Firm,,,,,,,,,,,https://www.adb.org/projects/54027-002/main,2026-01-12T15:03:27.017649
,"LOAN-4238 BAN: Coastal Towns Climate Resilience Project - NGO/CTCRP/LGED/S-06 Appointment of NGO for Livelihood Training and Graduation Program & Others in Barisal (Gouranadi, Mehendiganj, Muladi and Nalchity Paurashavas) and Khulna (Paikgacha and Chalna Paurashavas) Region (55201-001)",,,,,Firm,,,,,,,,,,,https://www.adb.org/projects/55201-001/main,2026-01-12T15:03:27.017652
,"GRANT-0919 SOL: Senior Secondary Education Improvement Project - CS06 Professional development for teachers and leaders, including women's transformative leadership program and project management (55050-002)",,,,,Firm,,,,,,,,,,,https://www.adb.org/projects/55050-002/main,2026-01-12T15:03:27.017654
,TA 59131-001 UZB: Feasibility Study for the Tashkent Green Mobility Project – Improving E-Buses Operating Conditions,,,,,Firm,,,,,,,,,,,https://www.adb.org/projects/59131-001/main,2026-01-12T15:03:27.017657
,"SC 125601 IND: Administration Coordinator to support the Finance and Administration Unit, India Resident Mission",,,,,Individual,,,,,,,,,,,,2026-01-12T15:03:27.017660
,"TA-10150 KAZ: KEEP, Phase 5 | Assessment of the Economic Impact of Antimonopoly Measures | National Firm (57098-001)",,,,,Firm,,,,,,,,,,,https://www.adb.org/projects/57098-001/main,2026-01-12T15:03:27.017668
