project_id,title,country,region,sector,subsector,status,project_type,modality,approval_date,signing_date,closing_date,effectivity_date,financing_amount,currency,borrower,executing_agency,implementing_agency,cofinancing,description,objectives,project_url,scraped_at
50000,Sample Infrastructure Development Project 1,Vietnam,Southeast Asia,Agriculture,,Closed,,,2021-09-03,,,,$281 million,,,,,,This is a sample project for testing the scraper functionality. It includes various infrastructure improvements in Philippines.,,https://www.adb.org/projects/50000,2026-01-12T14:45:45.346730
50001,Sample Infrastructure Development Project 2,Cambodia,South Asia,Health,,Active,,,2020-10-12,,,,$112 million,,,,,,This is a sample project for testing the scraper functionality. It includes various infrastructure improvements in Indonesia.,,https://www.adb.org/projects/50001,2026-01-12T14:45:45.346752
50002,Sample Infrastructure Development Project 3,India,Southeast Asia,Energy,,Proposed,,,2019-09-12,,,,$37 million,,,,,,This is a sample project for testing the scraper functionality. It includes various infrastructure improvements in Vietnam.,,https://www.adb.org/projects/50002,2026-01-12T14:45:45.346759
50003,Sample Infrastructure Development Project 4,Cambodia,South Asia,Industry,,Closed,,,2015-06-26,,,,$296 million,,,,,,This is a sample project for testing the scraper functionality. It includes various infrastructure improvements in Bangladesh.,,https://www.adb.org/projects/50003,2026-01-12T14:45:45.346765
50004,Sample Infrastructure Development Project 5,India,Southeast Asia,Transport,,Active,,,2021-05-12,,,,$162 million,,,,,,This is a sample project for testing the scraper functionality. It includes various infrastructure improvements in India.,,https://www.adb.org/projects/50004,2026-01-12T14:45:45.346770
50005,Sample Infrastructure Development Project 6,Cambodia,South Asia,Industry,,Closed,,,2018-06-03,,,,$68 million,,,,,,This is a sample project for testing the scraper functionality. It includes various infrastructure improvements in Pakistan.,,https://www.adb.org/projects/50005,2026-01-12T14:45:45.346776
50006,Sample Infrastructure Development Project 7,Sri Lanka,Southeast Asia,Finance,,Closed,,,2020-10-19,,,,$26 million,,,,,,This is a sample project for testing the scraper functionality. It includes various infrastructure improvements in Sri Lanka.,,https://www.adb.org/projects/50006,2026-01-12T14:45:45.346780
50007,Sample Infrastructure Development Project 8,Philippines,South Asia,Industry,,Proposed,,,2020-05-19,,,,$70 million,,,,,,This is a sample project for testing the scraper functionality. It includes various infrastructure improvements in Nepal.,,https://www.adb.org/projects/50007,2026-01-12T14:45:45.346784
50008,Sample Infrastructure Development Project 9,Bangladesh,Southeast Asia,Public Sector,,Proposed,,,2024-04-18,,,,$236 million,,,,,,This is a sample project for testing the scraper functionality. It includes various infrastructure improvements in Cambodia.,,https://www.adb.org/projects/50008,2026-01-12T14:45:45.346789
50009,Sample Infrastructure Development Project 10,Pakistan,South Asia,Energy,,Closed,,,2019-11-24,,,,$18 million,,,,,,This is a sample project for testing the scraper functionality. It includes various infrastructure improvements in Myanmar.,,https://www.adb.org/projects/50009,2026-01-12T14:45:45.346793
50010,Sample Infrastructure Development Project 11,Myanmar,Southeast Asia,Multisector,,Active,,,2021-06-07,,,,$26 million,,,,,,This is a sample project for testing the scraper functionality. It includes various infrastructure improvements in Philippines.,,https://www.adb.org/projects/50010,2026-01-12T14:45:45.346797
50011,Sample Infrastructure Development Project 12,Philippines,South Asia,Finance,,Active,,,2016-01-28,,,,$200 million,,,,,,This is a sample project for testing the scraper functionality. It includes various infrastructure improvements in Indonesia.,,https://www.adb.org/projects/50011,2026-01-12T14:45:45.346802
50012,Sample Infrastructure Development Project 13,India,Southeast Asia,Education,,Approved,,,2017-07-01,,,,$131 million,,,,,,This is a sample project for testing the scraper functionality. It includes various infrastructure improvements in Vietnam.,,https://www.adb.org/projects/50012,2026-01-12T14:45:45.346806
50013,Sample Infrastructure Development Project 14,Myanmar,South Asia,Industry,,Active,,,2021-12-21,,,,$350 million,,,,,,This is a sample project for testing the scraper functionality. It includes various infrastructure improvements in Bangladesh.,,https://www.adb.org/projects/50013,2026-01-12T14:45:45.346810
50014,Sample Infrastructure Development Project 15,Pakistan,Southeast Asia,Industry,,Active,,,2018-01-16,,,,$318 million,,,,,,This is a sample project for testing the scraper functionality. It includes various infrastructure improvements in India.,,https://www.adb.org/projects/50014,2026-01-12T14:45:45.346814
50015,Sample Infrastructure Development Project 16,Myanmar,South Asia,Agriculture,,Approved,,,2022-06-03,,,,$134 million,,,,,,This is a sample project for testing the scraper functionality. It includes various infrastructure improvements in Pakistan.,,https://www.adb.org/projects/50015,2026-01-12T14:45:45.346818
50016,Sample Infrastructure Development Project 17,Myanmar,Southeast Asia,Water and Urban,,Closed,,,2023-01-01,,,,$68 million,,,,,,This is a sample project for testing the scraper functionality. It includes various infrastructure improvements in Sri Lanka.,,https://www.adb.org/projects/50016,2026-01-12T14:45:45.346822
50017,Sample Infrastructure Development Project 18,Myanmar,South Asia,Health,,Active,,,2022-02-24,,,,$100 million,,,,,,This is a sample project for testing the scraper functionality. It includes various infrastructure improvements in Nepal.,,https://www.adb.org/projects/50017,2026-01-12T14:45:45.346826
50018,Sample Infrastructure Development Project 19,Sri Lanka,Southeast Asia,Water and Urban,,Closed,,,2020-02-08,,,,$33 million,,,,,,This is a sample project for testing the scraper functionality. It includes various infrastructure improvements in Cambodia.,,https://www.adb.org/projects/50018,2026-01-12T14:45:45.346830
50019,Sample Infrastructure Development Project 20,Philippines,South Asia,Water and Urban,,Closed,,,2016-09-03,,,,$192 million,,,,,,This is a sample project for testing the scraper functionality. It includes various infrastructure improvements in Myanmar.,,https://www.adb.org/projects/50019,2026-01-12T14:45:45.346835
