content,description,details,documents,title,type,url
"The Procurement Department has been entrusted with the functional authority and responsibility for the Bank's internal procurement. In carrying out this mandate, it commits to obtaining the right goods, works and services for the stated purpose; at the right time, place and cost; in a manner that balances the overall institutional requirements for economy, efficiency, transparency, equal opportunity, accountability and the needs of line management for flexibility and responsiveness to the particular operational circumstances.",,,,Content,section,https://www.afdb.org/en/about-us/corporate-procurement
Stay updated with the latest news and opportunities,,,,Content,section,https://www.afdb.org/en/about-us/corporate-procurement
"The African Development Bank provides various RSS feeds to help you stay informed about our activities, opportunities, and initiatives. Subscribe to any of our feeds to receive automatic updates when new content is published.",,,,Content,section,https://www.afdb.org/en/about-us/corporate-procurement
Email alerts|Subscribe to the RSS Feed.,,,,Content,section,https://www.afdb.org/en/about-us/corporate-procurement
,,,,About Us»,opportunity,https://www.afdb.org/en/about/mission-and-strategy
,,,,History,opportunity,https://www.afdb.org/en/about-us/corporate-information/history
,,,,History,opportunity,https://www.afdb.org/en/about-us/corporate-information/history
,,,,Mission & Strategy,opportunity,https://www.afdb.org/en/about/mission-and-strategy
,,,,Frequently asked questions,opportunity,https://www.afdb.org/en/about-us/frequently-asked-questions
,,,,Overview,opportunity,https://www.afdb.org/en/about/overview
,,,,Organisational Structure,opportunity,https://www.afdb.org/en/about-us/organisational-structure
,,,,Corporate Procurement,opportunity,https://www.afdb.org/en/about-us/corporate-procurement
,,,,Countries»,opportunity,https://www.afdb.org/en/countries
,,,,North Africa,opportunity,https://www.afdb.org/en/countries/north-africa
,,,,North Africa,opportunity,https://www.afdb.org/en/countries/north-africa
,,,,Algeria,opportunity,https://www.afdb.org/en/countries/north-africa/algeria
,,,,Mauritania,opportunity,https://www.afdb.org/en/countries/north-africa/mauritania
,,,,Morocco,opportunity,https://www.afdb.org/en/countries/north-africa/morocco
,,,,Tunisia,opportunity,https://www.afdb.org/en/countries/north-africa/tunisia
,,,,West Africa,opportunity,https://www.afdb.org/en/countries/west-africa
,,,,Burkina Faso,opportunity,https://www.afdb.org/en/countries/west-africa/burkina-faso
,,,,Cabo Verde,opportunity,https://www.afdb.org/en/countries/west-africa/cabo-verde
,,,,Côte d’Ivoire,opportunity,https://www.afdb.org/en/countries/west-africa/cote-divoire
,,,,Gambia,opportunity,https://www.afdb.org/en/countries/west-africa/gambia
,,,,Guinea,opportunity,https://www.afdb.org/en/countries/west-africa/guinea
,,,,Guinea-Bissau,opportunity,https://www.afdb.org/en/countries/west-africa/guinea-bissau
,,,,Liberia,opportunity,https://www.afdb.org/en/countries/west-africa/liberia
,,,,Nigeria,opportunity,https://www.afdb.org/en/countries/west-africa/nigeria
,,,,Senegal,opportunity,https://www.afdb.org/en/countries/west-africa/senegal
,,,,Sierra Leone,opportunity,https://www.afdb.org/en/countries/west-africa/sierra-leone
,,,,East Africa,opportunity,https://www.afdb.org/en/countries/east-africa
,,,,Burundi,opportunity,https://www.afdb.org/en/countries/east-africa/burundi
,,,,Comoros,opportunity,https://www.afdb.org/en/countries/east-africa/comoros
,,,,Djibouti,opportunity,https://www.afdb.org/en/countries/east-africa/djibouti
,,,,Eritrea,opportunity,https://www.afdb.org/en/countries/east-africa/eritrea
,,,,Ethiopia,opportunity,https://www.afdb.org/en/countries/east-africa/ethiopia
,,,,Rwanda,opportunity,https://www.afdb.org/en/countries/east-africa/rwanda
,,,,Seychelles,opportunity,https://www.afdb.org/en/countries/east-africa/seychelles
,,,,Somalia,opportunity,https://www.afdb.org/en/countries/east-africa/somalia
,,,,South Sudan,opportunity,https://www.afdb.org/en/countries/east-africa/south-sudan
,,,,Tanzania,opportunity,https://www.afdb.org/en/countries/east-africa/tanzania
,,,,Uganda,opportunity,https://www.afdb.org/en/countries/east-africa/uganda
,,,,Central Africa,opportunity,https://www.afdb.org/en/countries/central-africa
,,,,Cameroon,opportunity,https://www.afdb.org/en/countries/central-africa/cameroon
,,,,Central African Republic,opportunity,https://www.afdb.org/en/countries/central-africa/central-african-republic
,,,,Democratic Republic of Congo,opportunity,https://www.afdb.org/en/countries/central-africa/democratic-republic-of-congo
,,,,Equatorial Guinea,opportunity,https://www.afdb.org/en/countries/central-africa/equatorial-guinea
,,,,Southern Africa,opportunity,https://www.afdb.org/en/countries/southern-africa
,,,,Angola,opportunity,https://www.afdb.org/en/countries/southern-africa/angola
,,,,Botswana,opportunity,https://www.afdb.org/en/countries/southern-africa/botswana
,,,,Eswatini,opportunity,https://www.afdb.org/en/countries/southern-africa/eswatini
