Title,Full_Description,URL,PDF_Links,Page_Found
Mise en place des contrats cadres pour la fourniture des services de branding & impressions,Verify you are human by completing the action below.,https://www.afdb.org/en/corporate-procurement/mise-en-place-des-contrats-cadres-pour-la-fourniture-des-services-de-branding-impressions-89872,,1
Acquisition de services de maintenance des équipements techniques du bureau pays de la banque à Libreville – Gabon,Verify you are human by completing the action below.,https://www.afdb.org/en/corporate-procurement/acquisition-de-services-de-maintenance-des-equipements-techniques-du-bureau-pays-de-la-banque-libreville-gabon-89298,,1
Provision of Sustainable Vehicule Rental Services for the African Development Bank at the Ethiopian Country Offices,Verify you are human by completing the action below.,https://www.afdb.org/en/corporate-procurement/provision-sustainable-vehicule-rental-services-african-development-bank-ethiopian-country-offices-88811,,1
"Supply, Installation, Maintenance and Support of Network Security Policy Management Solution for the African Development Bank",Verify you are human by completing the action below.,https://www.afdb.org/en/corporate-procurement/supply-installation-maintenance-and-support-network-security-policy-management-solution-african-development-bank-88589,,1
Prestations de services d’entretien des équipements de plomberie de l’immeuble CCIA à Abidjan,Verify you are human by completing the action below.,https://www.afdb.org/en/corporate-procurement/prestations-de-services-dentretien-des-equipements-de-plomberie-de-limmeuble-ccia-abidjan-88297,,1
Provision of Support and Maintenance Services for Enterprise Content Management (ECM) Platform for African Development Bank (IBM Content Foundation and related IBM modules),Verify you are human by completing the action below.,https://www.afdb.org/en/corporate-procurement/provision-support-and-maintenance-services-enterprise-content-management-ecm-platform-african-development-bank-ibm-content-foundation-and-related-ibm-modules-88416,,1
"Fourniture, livraison, installation, configuration et maintenance d’une solution de radiocommunication pour la Banque africaine de développement à Abidjan (Côte d’Ivoire)",Verify you are human by completing the action below.,https://www.afdb.org/en/corporate-procurement/fourniture-livraison-installation-configuration-et-maintenance-dune-solution-de-radiocommunication-pour-la-banque-africaine-de-developpement-abidjan-cote-divoire-88205,,1
Provision of Internet Back Up Services for the African Development Bank Sierra Leonne Country Office (COSL),Verify you are human by completing the action below.,https://www.afdb.org/en/corporate-procurement/provision-internet-back-services-african-development-bank-sierra-leonne-country-office-cosl-88146,,1
"Maintenance of Ups, CCTV, Videos Phones, Biometric, Access Control, Fire Extinguishers and Fire Alarm System",Verify you are human by completing the action below.,https://www.afdb.org/en/corporate-procurement/maintenance-ups-cctv-videos-phones-biometric-access-control-fire-extinguishers-and-fire-alarm-system-88145,,1
"Maintenance of Computers, Printers, Photocopiers, Scanners and Others ICT Equipments at the African Development Bank Sierra Leonne Country Office in Freetown",Verify you are human by completing the action below.,https://www.afdb.org/en/corporate-procurement/maintenance-computers-printers-photocopiers-scanners-and-others-ict-equipments-african-development-bank-sierra-leonne-country-office-freetown-88147,,1
"Request for Expression of Interest for Supply of Goods, Provision of Services and Works for the Regional Development and Business Delivery Office",Verify you are human by completing the action below.,https://www.afdb.org/en/corporate-procurement/request-expression-interest-supply-goods-provision-services-and-works-regional-development-and-business-delivery-office-88016,,1
Procurement Notice Provision of Security and Fire Safety Services for the RDGE,Verify you are human by completing the action below.,https://www.afdb.org/en/corporate-procurement/procurement-notice-provision-security-and-fire-safety-services-rdge-87996,,1
Acquisition de services d’agence de ressources humaines pour le Personnel à court terme au Bureau Régional de la Banque en Afrique centrale (RDGC) à Yaoundé - Cameroun,Verify you are human by completing the action below.,https://www.afdb.org/en/corporate-procurement/acquisition-de-services-dagence-de-ressources-humaines-pour-le-personnel-court-terme-au-bureau-regional-de-la-banque-en-afrique-centrale-rdgc-yaounde-cameroun-87997,,1
"Maintenance des installations et équipements électriques de l’immeuble CCIA, IMA et Immeuble Siège de la Banque à Abidjan",Verify you are human by completing the action below.,https://www.afdb.org/en/corporate-procurement/maintenance-des-installations-et-equipements-electriques-de-limmeuble-ccia-ima-et-immeuble-siege-de-la-banque-abidjan-87960,,1
"Prestations de services d’entretien de la menuiserie, serrurerie et vitrerie des locaux de la Banque africaine de développement à Abidjan (Côte d'Ivoire)",Verify you are human by completing the action below.,https://www.afdb.org/en/corporate-procurement/prestations-de-services-dentretien-de-la-menuiserie-serrurerie-et-vitrerie-des-locaux-de-la-banque-africaine-de-developpement-abidjan-cote-divoire-87944,,1
Request for Proposal for Provision of Internet Based Network Solution,Verify you are human by completing the action below.,https://www.afdb.org/en/corporate-procurement/request-proposal-provision-internet-based-network-solution-87917,,1
Request for proposal: Provision of facilities management services for RDGE,The African Development Bank (hereafter referred to as “The Bank”) wishes to invite technical and financial proposals from experienced companies for the Provision of Facilities Management Services for the RDGE.,https://www.afdb.org/en/corporate-procurement/request-proposal-provision-facilities-management-services-rdge-87788,https://www.afdb.org/sites/default/files/corporate_procurement/procurement_notice_12.pdf; https://www.afdb.org/sites/default/files/corporate_procurement/request_for_proposal-_provision_of_facilities_management_services_for_rdge_.pdf,1
"Provision of Cleaning and Janitorial Services for the African Development Bank, Sierra Leone Country Office (COSL)",Verify you are human by completing the action below.,https://www.afdb.org/en/corporate-procurement/provision-cleaning-and-janitorial-services-african-development-bank-sierra-leone-country-office-cosl-87801,,1
Corporate Procurement,Verify you are human by completing the action below.,https://www.afdb.org/en/about-us/corporate-procurement/procurement-notices/current-solicitations.xml,,1
Prestations de services de nettoyage et entretien ménager des locaux y compris la fourniture de consommables pour le siège de la Bad à Abidjan,Verify you are human by completing the action below.,https://www.afdb.org/en/corporate-procurement/prestations-de-services-de-nettoyage-et-entretien-menager-des-locaux-y-compris-la-fourniture-de-consommables-pour-le-siege-de-la-bad-abidjan-26096,,29
Provision of Internet Based Network solution for the African Development Bank,Verify you are human by completing the action below.,https://www.afdb.org/en/corporate-procurement/provision-internet-based-network-solution-african-development-bank-25992,,29
Fourniture d’une solution Internet par fibre optique au Bureau Pays de la Banque Africaine de Développement au Burundi,Verify you are human by completing the action below.,https://www.afdb.org/en/corporate-procurement/fourniture-dune-solution-internet-par-fibre-optique-au-bureau-pays-de-la-banque-africaine-de-developpement-au-burundi-25736,,29
Acquisition de service de fourniture de carburant et services connexes à la Banque africaine de développement,Verify you are human by completing the action below.,https://www.afdb.org/en/corporate-procurement/acquisition-de-service-de-fourniture-de-carburant-et-services-connexes-la-banque-africaine-de-developpement-25520,,29
"Prestations de Services de Nettoyage et Entretien des locaux, du Bureau de la Banque Africaine de Developpement au Maroc, Rabat",Verify you are human by completing the action below.,https://www.afdb.org/en/corporate-procurement/prestations-de-services-de-nettoyage-et-entretien-des-locaux-du-bureau-de-la-banque-africaine-de-developpement-au-maroc-rabat-24273,,29
Country Office Tanzania - Request for expressions of interest,Verify you are human by completing the action below.,https://www.afdb.org/en/about-us/corporate-procurement/procurement-notices/current-solicitations/solicitation/country-office-tanzania-request-for-expressions-of-interest-472,,29
Prestations de services de nettoyage et entretien ménager -fourniture et livraison de consommables de toilettes pour l’immeuble siège de la banque à Abidjan – Plateau,Verify you are human by completing the action below.,https://www.afdb.org/en/about-us/corporate-procurement/procurement-notices/current-solicitations/solicitation/prestations-de-services-de-nettoyage-et-entretien-menager-fourniture-et-livraison-de-consommables-de-toilettes-pour-limmeuble-siege-de-la-banque-a-abidjan-plateau-471,,29
Request for proposal for provision of maintainance services for air conditioning equipment at the regional development and business delivery office (RDGE) – Nairobi,Verify you are human by completing the action below.,https://www.afdb.org/en/about-us/corporate-procurement/procurement-notices/current-solicitations/solicitation/request-for-proposal-for-provision-of-maintainance-services-for-air-conditioning-equipment-at-the-regional-development-and-business-delivery-office-rdge-nairobi-470,,29
Provision of cleaning services for the African Development Bank country office Tanzania,Verify you are human by completing the action below.,https://www.afdb.org/en/about-us/corporate-procurement/procurement-notices/current-solicitations/solicitation/provision-of-cleaning-services-for-the-african-development-bank-country-office-tanzania-469,,29
Recrutement d’une agence immobilière pour l’identification d’espace à usage de bureau professionnel pour le compte de la Banque africaine de développement à Alger (Algérie),Verify you are human by completing the action below.,https://www.afdb.org/en/corporate-procurement/recrutement-dune-agence-immobiliere-pour-lidentification-despace-usage-de-bureau-professionnel-pour-le-compte-de-la-banque-africaine-de-developpement-alger-algerie-24472,,29
"Procurement of facilities management services for the African Development Bank at the Nigeria country departement, Abuja",Verify you are human by completing the action below.,https://www.afdb.org/en/about-us/corporate-procurement/procurement-notices/current-solicitations/solicitation/procurement-of-facilities-management-services-for-the-african-development-bank-at-the-nigeria-country-departement-abuja-466,,29
