IATI_Identifier,Title,Description,Reporting_Organization,Reporting_Org_Ref,Reporting_Org_Type,Activity_Status,Activity_Status_Code,Start_Date,End_Date,Total_Budget,Default_Currency,Recipient_Country,Recipient_Country_Percentage,Recipient_Region,Sectors,Sector_Codes,Participating_Organizations,Participating_Org_Refs,Participating_Org_Roles,Locations,Contact_Email,Contact_Telephone,Contact_Organization,Contact_Address,Document_Links,Document_Categories,Policy_Markers,Collaboration_Type,Default_Flow_Type,Default_Finance_Type,Default_Aid_Type,Default_Tied_Status,Activity_Scope,Hierarchy,Language,Project_URL
GB-1-205246-409,Safe Return to Learning in Flood Affected Districts.,"This grant supports the establishment of Temporary Learning Centres (TLCs), the repair and rehabilitation of flood-affected schools, capacity building of teachers, and the provision of essential learning kits including books, stationery, and school bags in the flood-affected districts of South Punjab, Khyber Pakhtunkhwa, and Sindh.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Implementation,2,2025-09-24,2026-03-31,3000000.0,GBP,PK,100.0,,Immediate post-emergency reconstruction and rehabilitation,73010,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO); RURAL SUPPORT PROGRAMMES NETWORK",GB-GOV-1; GB-GOV-1,1; 2; 4,"Punjab, Pakistan",enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,,,,,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-205246-409/summary
GB-COH-03877777-F310801-01,Daraz.pk,"Daraz is the leading online marketplace across Pakistan, Bangladesh, Myanmar, Sri Lanka and Nepal. It is a pioneer of online retail in a market collectively covering about 500 million people.The company connects buyers and sellers across a wide assortment of categories from books to consumer electronics, and from fashion to general merchandise.", British International Investment plc,GB-COH-03877777,15,Closed,4,2015-09-23,2023-09-26,0.0,USD,PK,100.0,,Consumer Staples Distribution & Retail,3010,British International Investment plc,GB-COH-03877777,1,,enquiries@bii.co.uk,+44 20 7963 4700,British International Investment plc,"BII plc, 123 Victoria Street, London, SW1E 6DE, United Kingdom",https://www.bii.co.uk/en/our-impact/investment/darazpk-investment-01/,A12,,6,10,,C01,5,,1,en,https://devtracker.fcdo.gov.uk/projects/GB-COH-03877777-F310801-01/summary
GB-COH-03877777-F310801,Daraz.pk,Equity investment supporting growth of an online retailer to buy from local clothing suppliers and to create local logistics jobs., British International Investment plc,GB-COH-03877777,15,Implementation,2,2015-09-23,,0.0,USD,PK,,,,32130,CDC Group Plc,GB-COH-03877777,1,,enquiries@cdcgroup.com,?+44 (0)20 7963 4700,CDC Group Plc,"CDC Group plc, 123 Victoria Street, London, SW1E 6DE, United Kingdom",,,,6,10,,C01,5,,1,en,https://devtracker.fcdo.gov.uk/projects/GB-COH-03877777-F310801/summary
GB-GOV-1-300435-404,Programme Funded Post - Delivering Accelerated Family Planning in Pakistan (DAFPAK) Programme,"An in-house programme funded is likely to improve effectiveness of programme interventions to influence the programme work at a bigger scale for both partners and government counterparts. DAFPAK is a complex, high value (£120m) programme in its seventh year of implementation that aims to improve access and quality of Family Planning Services. I.e. programme efforts are likely to be better sustained. Improved effectiveness across the portfolio to manage relationships with key government stakeholders and work with the institutional strengthening partner to strengthen programme coordination, effectiveness and sustainability.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Implementation,2,2024-09-11,2028-06-30,82144.0,GBP,PK,100.0,,Family planning; Reproductive health care; Environmental policy and administrative management,13030; 13020; 41010,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO); LE Costs",GB-GOV-1; GB-GOV-1,1; 2; 4,Punjab Pakistan; Khyber Pakhtunkhwa; Sindh; Balochistan,enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,,,,,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-GOV-1-300435-404/summary
GB-1-204277-102,Innovation Fund rollout and monitoring through management agent,"This activity Innovation Fund rollout and monitoring through management agent is a component of Ilm Ideas Education Innovation Programme - Phase II (Ilm-2) reported by FCDO with a funding type of 104 - Procurement of Services and a budget of £4,392,393. It works in the following sector(s): Primary education, Educational research, Teacher training, Research/scientific institutions.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2013-09-11,2020-11-29,4392393.0,GBP,PK,100.0,,Primary education; Educational research; Teacher training; Research/scientific institutions,11220; 11182; 11130; 43082,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO); Mott MacDonald Limited",GB-GOV-1; GB-GOV-1; GB-COH-1110949,1; 2; 4,Pakistan,enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,1,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-204277-102/summary
GB-1-204277-104,Challenge fund for piloting and implementation of innovative solutions,"This activity Challenge fund for piloting and implementation of innovative solutions is a component of Ilm Ideas Education Innovation Programme - Phase II (Ilm-2) reported by FCDO with a funding type of 111 - Not for profit organisation and a budget of £19,639,809. It works in the following sector(s): Primary education, Educational research, Research/scientific institutions, Teacher training.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2013-09-11,2020-11-29,19639809.0,GBP,PK,100.0,,Primary education; Educational research; Teacher training; Research/scientific institutions,11220; 11182; 11130; 43082,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO); Mott MacDonald Limited",GB-GOV-1; GB-GOV-1; GB-COH-1110949,1; 2; 4,Pakistan,enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,1,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-204277-104/summary
GB-1-204277-103,Project evaluation and monitoring,"This activity Project evaluation and monitoring is a component of Ilm Ideas Education Innovation Programme - Phase II (Ilm-2) reported by FCDO with a funding type of 104 - Procurement of Services and a budget of £931,995. It works in the following sector(s): Educational research, Research/scientific institutions, Primary education.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2013-09-11,2020-11-29,931995.0,GBP,PK,100.0,,Educational research; Primary education; Research/scientific institutions,11182; 11220; 43082,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO); Coffey International Development",GB-GOV-1; GB-GOV-1; GB-COH-3799145,1; 2; 4,Pakistan,enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,1,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-204277-103/summary
GB-COH-03877777-F305102-06,Standard Chartered Risk Sharing Facility,"Standard Chartered plc is a British multinational bank with operations in consumer, corporate and institutional banking, and treasury services. Around 90% of its business comes from Asia, Africa, and the Middle East", British International Investment plc,GB-COH-03877777,15,Implementation,2,2016-09-07,,0.0,USD,PK,100.0,,Banks,4010,British International Investment plc,GB-COH-03877777,1,,enquiries@bii.co.uk,+44 20 7963 4700,British International Investment plc,"BII plc, 123 Victoria Street, London, SW1E 6DE, United Kingdom",https://www.bii.co.uk/en/our-impact/investment/standard-chartered-risk-sharing-facility-investment-06/,A12,,6,10,,C01,5,,1,en,https://devtracker.fcdo.gov.uk/projects/GB-COH-03877777-F305102-06/summary
GB-1-202367,Sub National Governance (SNG) - Khyber Pakhtunkhwa and Punjab,"The Sub-National Governance programme (SNG) is DFID Pakistan’s flagship programme supporting public financial management, planning and local government reform in the provinces of Punjab and Khyber Pakhtunkhwa (KP). It is a £38.1 million, 5 year programme from April 2013 to 2018.  It works in 12 districts, 6 in each province [Buner, Haripur, Nowshera, Dera Ismail Khan, Karak and Lakki Marwat in KP & Hafizabad, Mandi Bahuddin, Sheikhupura, Bahawalnagar, Sahiwal, and Vehari in Punjab]. This programme focuses on consolidating and embedding key reforms and building the capacity of government systems to take evidence-based decisions and improve health and education outcomes.

Objectives: Gender Equality: significant objective; Disability: significant objective","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2012-09-05,2018-08-29,0.0,GBP,PK,100.0,,Decentralisation and support to subnational government; Public finance management (PFM); Construction policy and administrative management; Education facilities and training; Media and free flow of information; Technological research and development; Domestic revenue mobilisation,15112; 15111; 32310; 11120; 15153; 32182; 15114,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO); State Bank of Pakistan; Sarhad Rural Support Programme (SRSP); World Bank, The; Delivery Associates Ltd; Oxford Policy Management; Coffey International Development",GB-GOV-1; GB-GOV-1; 12000; 20000; 44000; GB-COH-08333641; GB-COH-3122495; GB-COH-3799145,1; 2; 4; 4; 4; 4; 4; 4,Sahiwal; Vihari; Bahawalnagar; Shekhupura; Mandi Bahauddin; Hafizabad,enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",http://iati.fcdo.gov.uk/iati_documents/42143296.odt; http://iati.fcdo.gov.uk/iati_documents/21643295.odt; http://iati.fcdo.gov.uk/iati_documents/5737066.odt; http://iati.fcdo.gov.uk/iati_documents/5405397.odt; http://iati.fcdo.gov.uk/iati_documents/5394571.odt; http://iati.fcdo.gov.uk/iati_documents/4994288.odt; http://iati.fcdo.gov.uk/iati_documents/4463646.odt; http://iati.fcdo.gov.uk/iati_documents/3937903.odt; https://www.contractsfinder.service.gov.uk/Notice/ae653562-62d4-4a27-bf9e-f26d6dd18b39; https://data.gov.uk/data/contracts-finder-archive/contract/978403/; https://www.contractsfinder.service.gov.uk/Notice/1b362725-32fa-4891-be33-13de21c562a7; https://www.contractsfinder.service.gov.uk/Notice/ea09f6db-171f-4ad9-8b1e-843d6eeb273d; https://data.gov.uk/data/contracts-finder-archive/contract/749324/,A01; A07; A08; A09; A07; A08; A07; A08; A02; A08; A07; A08; A07; A08; A01; A02; A03; A04; A05; A11; A11; A11; A11; A10,1; 5; 6; 7; 8; 11,,,,,5,4,1,en,https://devtracker.fcdo.gov.uk/projects/GB-1-202367/summary
GB-1-204603-119,Technical Expertise on Climate Change with UNDP,"This activity Technical Expertise on Climate Change with UNDP is a component of Multi-Year Humanitarian Programme in Pakistan reported by FCDO with a funding type of 104 - Procurement of Services and a budget of £64,223. It works in the following sector(s): Disaster prevention and preparedness.","UK - Foreign, Commonwealth Development Office (FCDO)",GB-GOV-1,10,Closed,4,2020-09-02,2024-09-30,64223.0,GBP,PK,100.0,,Disaster prevention and preparedness,74010,"Foreign, Commonwealth and Development Office (FCDO); Foreign, Commonwealth and Development Office (FCDO)",GB-GOV-1; GB-GOV-1,1; 2,"shangla, KPK, Pakistan; Bannu, KPK, Pakistan; Peshawar, KPK, Pakistan; Leiah; Badin; Bajaur, Pakistan; Thatta, Sindh Pakistan; Mohmand, Pakistan; Kashmor; Chitral; Dera Ismail Khan; Kohat",enquiry@fcdo.gov.uk,+44 (0) 1355 84 3132,"UK - Foreign, Commonwealth Development Office (FCDO)","Public Enquiry Point, Abercrombie House, Eaglesham Road, East Kilbride, Glasgow G75 8EA",,,,1,10,110,C01,5,4,2,en,https://devtracker.fcdo.gov.uk/projects/GB-1-204603-119/summary
