Title,Project_ID,Reference,Process,Deadline,Description,Detail_URL,Detail_Page_Scraped,07_January_2026,15_January_2026,23_December_2025,Added,Addendum_no_02_under_RFP_100014485pdf,Attachment,Deadline_For_Applications,Issue_Date,Timezone
Capacity Development to Strengthen Electric Vehicle Testing in Nepal,2007,1000NP-04,RFP,21 Jan 2026 16:00 (UTC +09:00) Korea Standard Time,"Description :: GGGI Nepal Country Office is inviting entities and service providers to submit their proposals for the following scope of work under the Sustainable Electric Transport for Nepal (SET4NPL) project:PROJECT BACKGROUND:Sustainable Electric Transport for Nepal (SET4NPL) is supported by Mitigation Action Facility (MAF) and implemented by GGGI and Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH. The project's goal is to sustainably transform Nepal’s public transportation sector and create significant environmental, health, and mobility benefits. The project aims to support roll out of approximately 3,500 Electric Mini and micro-buses (EMBs) and charging stations nationally over five years, contributing significantly to reducing greenhouse gas emissions. The project provides financial support to the Public Transport Operators (PTOs) in the form of subsidy, loan, hire purchase, and loan guarantee mechanisms. Apart from providing the financial support to the PTOs through the project, SET4NPL also supports the GoN and relevant institutions in improving the policy and regulatory environment to enable electric mobility, support for expansion of charging station network, and help Nepal achieve its Nationally Determined Contributions (NDC) targets. Another major objective of the SET4NPL project is to enhance the capacity of stakeholders in Nepal’s transport sector with focus on EMBs. As a part of this effort, the project aims to support the government authorities responsible for vehicle testing through a capacity development program. The project expects to strengthen the testing ecosystem for EMBs in the country so that imported or domestically produced vehicles meet the required quality standards. This is important especially for vehicles used in public transport where ensuring public safety and reliability of service is crucial.OBJECTIVE OF THE ASSIGNMENT:SET4NPL seeks to engage a competent consulting firm/consortium (hereinafter referred to as “Consultant”) to conduct capacity building activities for the vehicle testing authorities of both federal and provincial levels to enhance their testing capacity to support the sustainable growth of the EMB sector. The objectives of the assignment are as follows:· To develop training materials on testing of EMBs for the federal and provincial-level vehicle testing authorities of Nepal.· To standardize testing parameters for the roadworthiness tests.· To conduct training workshops on EMB testing for vehicle testing authorities at the federal and provincial levels.For further details on the Scope of Work, please refer to the Terms of Reference available under the published Document Set.IMPORTANT TIMELINES:The tender submission deadline is 21 January 2025, 16:00 pm KST (Korean Standard Time) / 12:45 pm Nepal Time (GMT+0545).Note: If any bidder has any request for clarification on the TOR or any part of the tender documents, GGGI will be happy to clarify if the request is received on or before 7 days before the deadline (namely: if the tender submission deadline is 16:00 15 April KST, then the due date for submission of request for clarification is 16:00 8 April KST).Interested parties will be required to register their details on the GGGI e-Green Procurement Portal (https://in-tendhost.co.uk/gggi).HOW TO OBTAIN THE DOCUMENTS:Documents can be accessed via the e-Green Procurement Portal by selecting ‘View Details’ on the relevant notice and then clicking the ‘Tender Application’ button. If you are a new supplier, you will be required to register your details. If you have an existing account, you will need to login to the portal. Please refer to the guidance documents under the `Supplier Guidance` area of the portal for further information.ONLINE TENDER MANAGEMENT:Once in the Tender Management Area for the tender, there are five possible tabs: ‘Tender’, `Tender Documents`, ‘Correspondence’, ‘Clarifications’ and ‘History’. Select the 2nd tab (`Tender Documents`) where you ",https://in-tendhost.co.uk/gggi/aspx/ProjectManage/2007,Yes,,,,,,,22 Jan 2026 01:00,11 Jan 2026 18:57,(UTC +09:00) Korea Standard Time
Capacity Enhancement in Estimation and Valuation of Natural Resource Abundance and Economic Value in the African Region,2006,100014706,RFP,26 Jan 2026 16:00 (UTC +09:00) Korea Standard Time,"Description :: Global Green Growth Institute in Uganda (Africa region) is inviting all eligible companies to submit their consulting proposals to update Uganda’s Natural Capital Accounts (NCAs) to reflect data up to at least 2020. The work will build on the foundation established during the development of the 2015 accounts, strengthening institutional capacity, improving data quality, and enhancing the integration of NCAs into macroeconomic and fiscal policy frameworks.ABOUT GGGI:The Global Green Growth Institute (GGGI) was established as an intergovernmental organization with the objective of promoting sustainable development of developing and emerging countries including the least developed countries. GGGI is dedicated to supporting the creation and diffusion of the model of economic growth known as “green growth”. The green growth model integrates economic growth, environmental sustainability, poverty reduction and social inclusion.GGGI supports stakeholders through two complementary and integrated workstreams – Green Growth Planning & Implementation and Investment & Policy Solutions – which deliver comprehensive products and services designed to assist in developing, financing, and mainstreaming green growth in national economic development plans. Headquartered in Seoul, Republic of Korea, GGGI also has representation in several partner countries. While currently recognized as a trusted government advisor, GGGI is also expanding its role as a trusted project implementation partner. This involves greater engagement in helping members achieve project implementation goals.PROJECT BACKGROUND & OBJECTIVES:Uganda is naturally endowed with a wide range of natural resources, from abundant wildlife and forests to rare minerals. These resources form the foundation of the country’s socio-economic development. However, to ensure sustainability, equity, and long-term growth, these natural assets must be managed wisely and used responsibly to avoid depletion and environmental degradation.In addition, Uganda’s economy and a significant portion of its population rely heavily on natural resources for food, energy, and income-generating activities. While traditional systems of national accounting focus on the extraction and use of natural assets as contributors to GDP, they often overlook the depletion or degradation of these resources. If natural capital is not used equitably and sustainably, ensuring regeneration and conservation Uganda risks undermining its development base and future growth potential.In the context of climate change and increasing pressure on natural resources—particularly from agriculture, agro-industrialization, and changing settlement patterns—there is an urgent need to revisit and update Uganda’s Natural Capital Accounts (NCAs). Uganda has experienced a significant decline in forest cover, with substantial degradation occurring between 1990 and 2015 with modest improvements occurring between 2015 and 2021. At the same time, the country faces growing climate-related risks, including more frequent droughts, floods, and increasingly erratic rainfall patterns. According to the Country Climate and Development Report for Uganda 2025, the average annual temperature has for Uganda has risen steadily, by 1.30C, since the 1960s, while rainfall has become more unpredictable. These trends underscore the urgent need to update Uganda’s NCAs, which currently only cover data up to 2015. To ensure relevance and usefulness for policy and planning, the accounts must be updated to at least 2020. Recognizing the need to integrate natural capital into economic decision-making, the Government of Uganda; through the Uganda Bureau of Statistics (UBOS) as mandated, in collaboration with the Ministry of Finance, Planning and Economic Development (MoFPED) and the National Planning Authority (NPA) developed an initial set of Natural Capital Accounts. These accounts, compiled with the support of development partners and a multi-institutional Tec",https://in-tendhost.co.uk/gggi/aspx/ProjectManage/2006,Yes,,Capacity Enhancement in Estimation and Valuation of Natural Resource Abundance and Economic Value in the African Region,,Project,,Options,27 Jan 2026 01:00,16 Dec 2025 14:49,(UTC +09:00) Korea Standard Time
"Conceptual Site Development Plan, environmental and social impact study and land preparation for “Developing Socio-Economic Infrastructure to Sustain Rural Communities in Togo” Project.",2005,100014628,RFP,22 Jan 2026 16:00 (UTC +09:00) Korea Standard Time,"Description :: Global Green Growth Institute in Togo invites eligible firms to submit their bids for consulting opportunity titled “Conceptual Site Development Plan, environmental and social impact study and land preparation for “Developing Socio-Economic Infrastructure to Sustain Rural Communities in Togo” Project”ABOUT GGGI:The Global Green Growth Institute (GGGI) was established as an intergovernmental organization with the objective of promoting sustainable development of developing and emerging countries including the least developed countries. GGGI is dedicated to supporting the creation and diffusion of the model of economic growth known as “green growth”. The green growth model integrates economic growth, environmental sustainability, poverty reduction and social inclusion.PROJECT BACKGROUND & OBJECTIVES:In Togo, limited access to essential services, low income-generating activities to boost the rural economy, and lack of business opportunities are part of the main drivers of poverty in rural areas. Efforts to improve the access to health care, safe water, and proper sanitation are needed when in rural areas, 65% of children below 59 months suffering from diarrhea have no access to the healthcare treatment in a health facility, and the prevalence of malaria among children aged 6-59 months is 57.2%. In the Maritime region, the deficit of drinking water infrastructure and the high rate of drinking water supply infrastructure’s breakdown push about 30% of the population to rely on unimproved water sources (unprotected wells, unprotected springs, surface water). Education statistics show that the enrolment rate of children at primary school is 74.1% in urban areas while in rural areas, it is 62.1% It is within this context, that the GGGI Togo office, in discussions with national stakeholders and government officials, was able to identify the proposed project on Developing Socio-Economic Infrastructure to Sustain Rural Communities in Togo.The overall objective of the proposed project is to support a sustainable transition to rural areas with profitable solutions supporting the development and well-being of local communities.The specific objectives are to:- Increase the agricultural production value addition in a sustainable manner with improved postharvest solutions.- ensure clean water accessibility for rural communities with improved rainwater harvesting systems.- improve living conditions with eco-friendly essential infrastructures and - empower youth and women for the transformation of rural areas into zones with profitable solutions catalyzing the local communities’ development and well-being.This project includes the following outcomes: a combination of post-harvest solutions with waste recycling as livelihood diversification through the implementation of two solar modules for post-harvest processing and the development of income-generating activities boosting the circular economy for locals at the community level (outcome 1); equipment of communities with eco-friendly essential infrastructures and drinking water facilities for the rural communities (outcome 2); capacity building of youth and women communities in green businesses development and management through green businesses incubator program (outcome 3) and project management, monitoring, and evaluation (outcome 4). To implement the Project in a harmonious way, GGGI is seeking a national consultancy firm for the conception of a conceptual site development plan, environmental and social impact study and land preparation. Note 1. The project site of about 5 hectares is located in the village of Yekplékondji, canton of Ando, commune of Ave 1, prefecture of Ave in the Maritime region.Note 2. planned infrastructures for the project site: construction of 1 school with 7 classes including administrative office + construction of 1 Healthcare center, construction of 2 public markets including toilet and 1 administrative office, Set-up of 1 waste management systems inclu",https://in-tendhost.co.uk/gggi/aspx/ProjectManage/2005,Yes,,,,,,,23 Jan 2026 01:00,15 Dec 2025 15:50,(UTC +09:00) Korea Standard Time
Consulting Firm for the Development of Advancing Renewable Energy through Floating Solar Photovoltaics (FPV) in Philippines,1995,100014485,RFP,27 Jan 2026 16:00 (UTC +09:00) Korea Standard Time,"Description :: GGGI Philippines Country Office is inviting eligible firms/entities to submit their proposals for the following scope of work:PROJECT BACKGROUND:The Philippines faces increasing electricity demand driven by population growth, urbanization, and economic development. Despite having diverse energy resources, the country’s power sector remains dominated by fossil fuels, with coal accounting for more than half of the generation mix. This dependence not only contributes to greenhouse gas emissions but also exposes the power sector to fuel price volatility and energy security risks. At the same time, the availability of suitable land for ground-mounted solar is limited, creating challenges for scaling up renewable energy.Floating Solar Photovoltaics (FPV) presents a promising solution. With an estimated technical potential of 42–108 GW across natural waterbodies and reservoirs, FPV can help diversify the energy mix, optimize use of existing hydropower and irrigation infrastructure, and minimize land-use conflicts. The National Irrigation Administration (NIA) has identified more than 1,400 MW of FPV potential across major dams, while the Department of Energy (DOE) aims to achieve a renewable energy share of 35% by 2030 and 50% by 2040. Deploying large-scale FPV projects can significantly contribute to these targets, while also advancing the country’s commitments under the Paris Agreement and the Philippine Energy Plan (PEP) 2017–2040.OBJECTIVE OF THE ASSIGNMENT:The project, Advancing Renewable Energy through Floating Solar Photovoltaics (FPV) in the Philippines, seeks to accelerate the country’s clean energy transition by creating an enabling environment for FPV development and designing a bankable large-scale FPV project (targeting 300 MW). Specifically, the project will:1. Conduct a comprehensive landscape analysis of policies, regulations, tariffs, and institutional frameworks affecting FPV deployment.2. Undertake technical due diligence and feasibility studies to identify optimal project design, capacity, and site-specific solutions.3. Develop viable business and financial models, including innovative financing instruments, to attract private sector participation and reduce investment risks.4. Formalize partnerships with DOE, NIA, and other stakeholders to strengthen governance and regulatory support for FPV.5. Provide investment advisory services and prepare technical and financial documentation to mobilize financing for project implementation.Through these interventions, the project aims to demonstrate the viability of FPV in the Philippines, establish replicable models for scaling across other dams and reservoirs, and position the country as a regional leader in floating solar energy deployment.For further details on the Scope of Work, please refer to the Terms of Reference available under the published Document Set.IMPORTANT TIMELINES:The tender submission deadline is 27 January 2025, 16:00 Hrs KST (Korean Standard Time) / 15:00 Hrs PST.If any bidder has any request for clarification on the TOR or any part of the tender documents, GGGI will be happy to clarify if they are received on or before 7 days before the deadline (namely: if the tender submission deadline is 16:00 15 April KST, then the due date for submission of request for clarification is 16:00 8 April KST).Interested parties will be required to register their details on the GGGI e-Green Procurement Portal (https://in-tendhost.co.uk/gggi).HOW TO OBTAIN THE DOCUMENTS:Documents can be accessed via the e-Green Procurement Portal by selecting ‘View Details’ on the relevant notice and then clicking the ‘Tender Application’ button. If you are a new supplier, you will be required to register your details. If you have an existing account, you will need to login to the portal. Please refer to the guidance documents under the `Supplier Guidance` area of the portal for further information.ONLINE TENDER MANAGEMENT:Once in the Tender Management Area for the tender,",https://in-tendhost.co.uk/gggi/aspx/ProjectManage/1995,Yes,,,Consulting Firm for the Development of Advancing Renewable Energy through Floating Solar Photovoltaics (FPV) in Philippines,Project,View Download Revisions,Options,28 Jan 2026 01:00,22 Dec 2025 16:16,(UTC +09:00) Korea Standard Time
Consulting Firm for the Development of Towards Carbon-Neutral Rails: Enhancing Environmental Sustainability of the Philippines National Railway,1994,100014483,RFP,17 Jan 2026 16:00 (UTC +09:00) Korea Standard Time,"Description :: GGGI Philippines Country Office is inviting eligible firms/entities to submit their proposals for the following scope of work:PROJECT BACKGROUND:The Philippines’ transport sector accounts for around 35% of the country’s total final energy consumption, making it the most energy-intensive sector. The Philippine National Railways (PNR), a government-owned corporation, is central to this system but faces challenges of congestion, inefficiency, and reliance on fossil fuels. Decarbonizing the PNR is therefore critical for achieving national climate and energy goals.The Government of the Philippines has committed to a 50% renewable energy share in the power mix by 2040, aligned with its Fueling Sustainable Transport Program (FSTP) and long-term low carbon development strategies. Enhancing PNR’s energy system through the deployment of ground-mounted and rooftop solar photovoltaic (PV) projects presents an opportunity to reduce greenhouse gas (GHG) emissions, increase energy independence, and improve the resilience of transport infrastructure.The project, Towards Carbon-Neutral Rails, is designed to support PNR’s transition towards 100% green energy through policy analysis, technical feasibility studies, innovative business models, and capacity building.OBJECTIVE OF THE ASSIGNMENT:The selected Consulting Firm under this TOR hall be engaged to help achieve the following objectives:• Support PNR in developing a strategic plan to transition towards 100% renewable energy.• Conduct technical feasibility studies to assess the viability of solar PV projects on PNR assets (both ground-mounted and rooftop).• Recommend enabling policy reforms and regulatory adjustments to support project implementation.• Develop financial models and business models that ensure bankability and long-term sustainability.• Provide pre-investment advisory to prepare projects for implementation and potential investor engagement.• Strengthen the technical and institutionFor further details on the Scope of Work, please refer to the Terms of Reference available under the published Document Set.IMPORTANT TIMELINES:The tender submission deadline is 17 January 2026, 16:00 Hrs KST (Korean Standard Time) / 15:00 Hrs PST.If any bidder has any request for clarification on the TOR or any part of the tender documents, GGGI will be happy to clarify if they are received on or before 7 days before the deadline (namely: if the tender submission deadline is 16:00 15 April KST, then the due date for submission of request for clarification is 16:00 8 April KST).Interested parties will be required to register their details on the GGGI e-Green Procurement Portal (https://in-tendhost.co.uk/gggi).HOW TO OBTAIN THE DOCUMENTS:Documents can be accessed via the e-Green Procurement Portal by selecting ‘View Details’ on the relevant notice and then clicking the ‘Tender Application’ button. If you are a new supplier, you will be required to register your details. If you have an existing account, you will need to login to the portal. Please refer to the guidance documents under the `Supplier Guidance` area of the portal for further information.ONLINE TENDER MANAGEMENT:Once in the Tender Management Area for the tender, there are five possible tabs: ‘Tender’, `Tender Documents`, ‘Correspondence’, ‘Clarifications’ and ‘History’. Select the 2nd tab (`Tender Documents`) where you will find useful information regarding the RFP. Scroll down to the heading ‘Tender Documents Received’ where you will be able to view / download the documents.OPTING IN & OPTING OUT:Please note that you may be required to ‘Opt In’ before you can start populating your response. The ‘Opt Out’ functionality will also be available throughout the duration of the tender process. Opting out will give you the option of declaring you no longer want to receive any further communication in relation to this tender along with the opportunity of providing comments and feedback for this decision. You can choose to ‘Opt In’ at a",https://in-tendhost.co.uk/gggi/aspx/ProjectManage/1994,Yes,,,,,,,18 Jan 2026 01:00,01 Dec 2025 14:41,(UTC +09:00) Korea Standard Time
"Pacific Regional Scoping Study and Analysis of Rural Electrification Projects, Financing Mechanisms, and Implementation Pathways",2004,100014663,RFP,02 Feb 2026 16:00 (UTC +09:00) Korea Standard Time,"Description :: Global Green Growth Institute in Pacific is inviting all eligible companies “with extensive experience in energy policy, renewable energy systems, and sustainable development planning within the Pacific region” to submit their bids for consulting services to undertake the Pacific Regional Scoping Study and Analysis of Rural Electrification Projects, Financing Mechanisms, and Implementation Pathways.The Consultant should be familiar with undertaking policy research, institutional analysis, and project scoping studies to support the formulation of enabling frameworks and investment-ready interventions for rural electrification and energy transition.ABOUT GGGI:The Global Green Growth Institute (GGGI) was established as an intergovernmental organization with the objective of promoting sustainable development of developing and emerging countries including the least developed countries. GGGI is dedicated to supporting the creation and diffusion of the model of economic growth known as “green growth”. The green growth model integrates economic growth, environmental sustainability, poverty reduction and social inclusion.GGGI has a diverse portfolio of programs in developing countries around the world. These in-country programs, together with global products and services, focus on delivering results through an integrated approach of evidence-based green growth planning and implementation aligned to countries’ development priorities. The organization also focuses on knowledge development and management activities that build a strong theoretical and empirical basis for green growth, while providing concrete options and guidance for policymakers, as well as building the conditions for public and private green infrastructure investments.GGGI supports its Pacific Member and partner countries in their transition to a green growth model by combining policy advice, technical assistance, and partnership brokering, emphasizing the development of bankable projects to implement green policies and attract green and climate finance. In particular, building on existing initiatives, GGGI continues to support the region to enhance policy frameworks (including strategies, roadmaps, standards, regulations, etc.), create green jobs, improve institutional capacities in GHG measurement and reporting, access climate finance and sustainable energy, transport, water and waste solutions, strengthen capacities to improve the application of green technologies, and scale-up achievement of respective NDC targets and goals.PROJECT BACKGROUND & OBJECTIVES:GGGI is leading the delivery of the European Union funded Pacific Regional Electrification Program (Pac-REP) which is a regional rural electrification program targeted to support rural electrification efforts across the Pacific region. Rural electrification is a critical sector for Pacific Island Countries (PICs), enabling access to electricity for remote and outer island populations, which is essential for basic services, livelihoods, and socio-economic development. At the same time, the energy sector contributes significantly to greenhouse gas emissions, as many communities remain dependent on imported diesel for power generation. Therefore, developing an inclusive, economically viable, and environmentally sustainable rural energy sector has become a priority for governments and key stakeholders, including utilities, regulators, and development partners.In support of advancing rural electrification in the Pacific, GGGI will assist the governments of selected PICs in conducting a comprehensive scoping of rural electrification policies and potential renewable energy interventions. This will include an assessment of policy and regulatory gaps, investment needs, barriers, and opportunities, followed by recommendations for renewable energy projects aligned with national priorities. The assignment delivery shall also take into account the study currently being undertaken by the University of the South Pac",https://in-tendhost.co.uk/gggi/aspx/ProjectManage/2004,Yes,,,,,,,03 Feb 2026 01:00,08 Jan 2026 07:12,(UTC +09:00) Korea Standard Time
Pre-feasibility Study for Ground Mounted Solar Farm with Battery Energy Storage System at Vakabuli - Fiji,2000,100014511,RFP,19 Jan 2026 16:00 (UTC +09:00) Korea Standard Time,,https://in-tendhost.co.uk/gggi/aspx/ProjectManage/2000,Yes,,,,,,,,,
Provision of Services for Private Sector Engagement and Development of Two High-Level Climate Adaptation Concept Notes with a Private Sector Focus,2013,100014738,RFP,13 Feb 2026 16:00 (UTC +09:00) Korea Standard Time,"Description :: GGGI Vanuatu invites eligible firms to submit proposals for the assignment:“Provision of Services for Private Sector Engagement and Development of Two High-Level Climate Adaptation Concept Notes with a Private Sector Focus”Project Background Vanuatu is highly vulnerable to climate change, particularly in sectors such as agriculture, water, infrastructure, and tourism. To enhance national climate resilience, the Government of Vanuatu, with support from the GGGI, secured a Green Climate Fund (GCF) Readiness and Preparatory Support Grant under the project titled ‘Enhancing Adaptation Actions through the National Adaptation Plan of Vanuatu’ to develop the National Adaptation Plan (NAP) and six Provincial Adaptation Plans (PAPs) among other adaptation interventions.As part of this initiative, the GGGI requires an external consultancy firm to lead private sector engagement and develop two high-level concept notes to address adaptation challenges identified through stakeholder consultations with private sector focus.A brief on GGGI’s Vanuatu ProgramVanuatu became a member of GGGI in 2014 and GGGI began its operations in Vanuatu in 2015. GGGI’s first projects in Vanuatu in 2015 and 2016 focused on support to the Government to update the National Energy Roadmap 2016-2030, develop the National Green Energy Fund (NGEF), and plan for implementing its green energy transition. In 2017, GGGI and the Government of Vanuatu launched its first Country Planning Framework (CPF). CPFs are “a five-year country level plan that sets out the priority areas for GGGI interventions and choice of programmatic solutions that contribute to Members’ and partners’ green growth transformation as well as their Nationally Determined Contribution (NDC) and Sustainable Development Goal ambitions and goals”. GGGI launched a second CPF for Vanuatu in 2022, spanning 2022-2026.GGGI has been actively involved in supporting sustainable development initiatives in Vanuatu. GGGI's focus includes enhancing climate resilience, promoting green growth, and fostering economic sustainability through various projects. Notably, GGGI works closely with the Vanuatu government and local partners to develop green growth policies and strategies aligned with Government of Vanuatu’s climate ambitions and mobilize financing for projects at scale.GGGI’s current portfolio in Vanuatu reflects a diverse and impactful set of initiatives aimed at advancing climate resilience and sustainable development. Key activities include the installation of solar-powered water pumps in eight rural communities and the provision of renewable energy solutions for 24 rural schools and health centers, supported by the Australian Government under the Renew Pacific program. Under the Low Emissions and Climate Resilient Development (LECRD) Phase II program, supported by NZ MFAT, GGGI is developing Fuel and Vehicle Emissions Standard Operating Procedures (SOPs). Additional climate finance initiatives include the Climate Finance Access Network (CFAN) supported by DFAT Australia, and the Climate Finance Access & Absorption program funded by the UK FCDO. GGGI is also collaborating with the NDC Partnership to develop seven pre-feasibility studies aimed at unlocking climate finance for Vanuatu. Furthermore, the portfolio includes a sustainable maritime program funded by the Republic of Korea, and an e-mobility project under GEF-8, contributing to the country’s transition to low-carbon transport solutions.For more details on the Scope of Work, please refer to the Terms of Reference (TOR) document attached. IMPORTANT TIMELINESThis project has a duration of nine months.The tender submission deadline is 13 February 2026 at 16:00 (Korean Standard Time – KST).Any requests for clarification regarding the ToR or any part of the tender documents must be submitted no later than seven (7) days prior to the deadline.Accordingly, if the tender submission deadline is 16:00 on 13 February 2026 (KST), the deadline for sub",https://in-tendhost.co.uk/gggi/aspx/ProjectManage/2013,Yes,,,,,,,14 Feb 2026 01:00,01 Jan 1899 00:00,(UTC +09:00) Korea Standard Time
Re_tender_Operationalizing Paraguay’s National Carbon Market Framework for Increased Climate Ambition,2009,100014786,RFP,31 Jan 2026 16:00 (UTC +09:00) Korea Standard Time,"Description :: GGGI Paraguay invites eligible firms/entities to submit their proposals for the assignment: “Re_tender Operationalizing Paraguay’s National Carbon Market Framework for Increased Climate Ambition”PROJECT BACKGROUND: The Government of Paraguay enacted Law No. 7190/23 “On Carbon Credits” and its implementing Decree No. 3369/25, establishing the country’s institutional, regulatory and operational foundations for the functioning of national and international carbon market activities. The Decree creates the Dirección de Mercados de Carbono (DMC) within the Ministry of Environment and Sustainable Development (MADES), mandating it to supervise the Carbon Credit Registry, issue Constancias de No Objeción (No-Objection Statements), issue Letters of Authorization for ITMO transfers, validate methodologies, and coordinate national mitigation market policies.Paraguay is positioning itself to engage in Cooperative Approaches under Article 6.2 and Article 6.4 of the Paris Agreement, supported by the project “Operationalizing Paraguay’s National Carbon Market Framework for increased climate ambition”, implemented by GGGI and financed by the Carbon Transaction Facility. To do so, Paraguay requires both a national strategy for Article 6 engagement and an operational manual. The National Carbon Market Strategy must provide clarity on sector prioritization, eligibility criteria, risk management (especially overselling risks), environmental integrity principles, benefit-sharing arrangements, and institutional coordination pathways. Meanwhile, the Operations Manual must define procedures, responsibilities, administrative flows, templates and tools to operationalize the legal and regulatory requirements of the national carbon framework.Proposed Activities and Scope of Work1. Proposed Activities for the Overall ProjectGGGI seeks to engage with a consortium of consulting firms (composed of one international firm and a national firm established within Paraguay), here in after referred to as “Service Provider” to help achieve the overall objective is to support MADES/DMC in operationalizing Paraguay’s national carbon framework by developing:A National Carbon Market Strategy, aligned the updated NDC of Paraguay and other national strategies and plans currently in force, addressing eligibility, prioritization, risk management (including overselling), governance, fee structure, benefit-sharing instruments, and the long-term vision for Article 6 participation.An Article 6 Operations Manual, aligned with Law 7190/23 “Carbon Credits” and its regulatory decree 3369/25, which defines the processes, responsibilities, templates, flows, verification steps, reporting obligations, and registry functions required for domestic implementation of Article 6.2 and Article 6.4 mechanisms.Both instruments must ensure:• Compliance with Law 7190/23 and Decree 3369/25.• Adherence to environmental integrity principles.• Transparency, traceability, and accountability.• Equal Opportunities and Social inclusion mainstreaming.• Compatibility with UNFCCC reporting requirements (initial, annual and biennial transparency reporting under Art. 6.2).2. Scope of WorkThe Service Provider will support the Government of Paraguay—through its Carbon Market Office (DMC) in the Ministry of Environment and Sustainable Development (MADES) and the GGGI project team—in developing the strategic and operational foundations for Article 6 implementation. The work focuses on strengthening and refining nationally led processes, ensuring that Paraguay’s emerging Article 6 framework is technically robust, internally consistent, and aligned with national policies currently in force.The Scope of Work is organized into two interconnected workstreams:• Workstream 1 provides the strategic orientation for Paraguay’s participation in carbon markets and ensures policy coherence.• Workstream 2 focuses on operationalizing the national framework and validating core procedural instruments.Two foundationa",https://in-tendhost.co.uk/gggi/aspx/ProjectManage/2009,Yes,Re_tender_Operationalizing Paraguay’s National Carbon Market Framework for Increased Climate Ambition,,,Project,,Options,01 Feb 2026 01:00,01 Jan 1899 00:00,(UTC +09:00) Korea Standard Time
"Technical Assessment for Selected Investment Proposal under the Plastics Circular Investment Initiative (PCII), Indonesia",2010,100014797,RFP,04 Feb 2026 16:00 (UTC +09:00) Korea Standard Time,"Description :: GGGI Indonesia Country Office is inviting eligible consulting firms or a consortium of firms to submit their proposals for the following scope of work:PROJECT BACKGROUND:The Global Green Growth Institute (GGGI) supports the Ministry of National Development Planning/PPN (Bappenas) in accelerating the transition of the plastics sector to a more sustainable model by applying circular economy principles through the Plastics Circular Investment Initiative (PCII) Project. The project is supported by the Korea Green New Deal Trust Fund (KGNDTF), funded by the Ministry of Economy and Finance of the Republic of Korea, and aims to strengthen the value chain of recycled plastics and bioplastics by supporting the mobilization of funding on investment projects that have the potential to generate real and transformative benefits.The PCII project consists of three interrelated components supporting the investment mobilization process:• Landscape Analysis: To identify technical gaps and investment opportunities in the recycled plastics and bioplastics value chains.• Business Matchmaking Program: To bring together stakeholders to establish partnerships and prepare proposals for submission through a Call for Proposals (CfP).• Technical Assessment: To sharpen business and financial models as well as other technical aspects so that bankability can be improved to attract potential funders/investors.PCII, through its Landscape Analysis (LA) and Business Matchmaking (BM) Program, has identified the investment gaps and opportunities, which would be appropriate for targeted investments to further enhance the recycled plastics and bioplastics value chains. These were then used as a basis for GGGI to further design its target areas (named thematic sector) under its Call for Proposals (CfP) scheme, inviting all relevant players in both the recycled plastics and bioplastics sectors to submit robust investment project proposals for potential support by GGGI. These thematic sectors are:Recycled Plastics• Collection and sorting (e.g., establishing material recovery facilities/MRFs, community drop-off points, etc.)• Mechanical recycling technology (e.g., expanding PET-to-PET lines, establishing new PP/PE/PS/PVC recycling plants, etc.)• Chemical recycling technology (e.g., deploying depolymerization equipment, mixed plastics pyrolysis technology, etc.)• Conversion (e.g., expanding manufacturing of rPP/rPS/rPVC products, recycled household goods, etc.)Bioplastics• Bioplastics resin for rigid and flexible packaging (e.g., expanding quality and efficient starch-based resin facility, etc.)• Bioplastics conversion (e.g., upgrading extrusion/thermoforming lines, installing injection molding machines, etc.)• End-of-life (e.g., establishing industrial composting facilities, anaerobic digestion for certified bioplastics. Etc.)Furthermore, PCII also encourages prospective project proponents to integrate the following overarching elements into their investment project proposals:• Green Investment Instruments: Supporting the development of sustainable financing structures including result-based financing (RBF), Extended Producers Responsibility (EPR) mechanisms, and plastic credit systems. This is to ensure that investment projects can be operationally sustainable for its long-term implementation.• Digital Applications & Technology: Integrating digital applications and technologies for material traceability to ensure compliance with international standards and requirements such as ILBI and EU's Digital Product Passport (DPP). This is to enable products to be exported to international markets, further enhancing the investment projects’ business models.ASSIGNMENT OBJECTIVE:Following the Call for Proposals (CfP) launched in December 2025, PCII is in the process of selecting one high-potential investment project proposal in the recycled plastics OR bioplastics sectors. The selected investment project proposal (hereinafter “the Project Proposal”) will receive a ",https://in-tendhost.co.uk/gggi/aspx/ProjectManage/2010,Yes,,,,,,,05 Feb 2026 01:00,07 Jan 2026 15:14,(UTC +09:00) Korea Standard Time
