title,reference,process,deadline,project_id,detail_url
"Capacity Development to Strengthen Electric Vehicle Testing in Nepal",1000NP-04,RFP,"21 Jan 2026 16:00 (UTC +09:00) Korea Standard Time",2007,https://in-tendhost.co.uk/gggi/aspx/Tenders/Tenders_Detail?ProjectID=2007
"Capacity Enhancement in Estimation and Valuation of Natural Resource Abundance and Economic Value in the African Region",100014706,RFP,"19 Jan 2026 16:00 (UTC +09:00) Korea Standard Time",2006,https://in-tendhost.co.uk/gggi/aspx/Tenders/Tenders_Detail?ProjectID=2006
"Conceptual Site Development Plan, environmental and social impact study and land preparation for Developing Socio-Economic Infrastructure to Sustain Rural Communities in Togo Project",100014628,RFP,"15 Jan 2026 16:00 (UTC +09:00) Korea Standard Time",2005,https://in-tendhost.co.uk/gggi/aspx/Tenders/Tenders_Detail?ProjectID=2005
"Consulting Firm for the Development of Advancing Renewable Energy through Floating Solar Photovoltaics (FPV) in Philippines",100014485,RFP,"17 Jan 2026 16:00 (UTC +09:00) Korea Standard Time",1995,https://in-tendhost.co.uk/gggi/aspx/Tenders/Tenders_Detail?ProjectID=1995
"Consulting Firm for the Development of Towards Carbon-Neutral Rails: Enhancing Environmental Sustainability of the Philippines National Railway",100014483,RFP,"17 Jan 2026 16:00 (UTC +09:00) Korea Standard Time",1994,https://in-tendhost.co.uk/gggi/aspx/Tenders/Tenders_Detail?ProjectID=1994
"Development of Bankable Project Pipeline of Low-carbon Buildings in India, ALCBT Project",100014395,RFP,"14 Jan 2026 16:00 (UTC +09:00) Korea Standard Time",1997,https://in-tendhost.co.uk/gggi/aspx/Tenders/Tenders_Detail?ProjectID=1997
"Institutionalization of the Building Emission Assessment Tool and Establishment of Building Registry Pilot in 5 States and Bureau of Energy Efficiency of India to Support Implementation of Energy Conservation & Sustainable Building Code",100014393,RFP,"15 Jan 2026 16:00 (UTC +09:00) Korea Standard Time",2002,https://in-tendhost.co.uk/gggi/aspx/Tenders/Tenders_Detail?ProjectID=2002
"Pacific Regional Scoping Study and Analysis of Rural Electrification Projects, Financing Mechanisms, and Implementation Pathways",100014663,RFP,"02 Feb 2026 16:00 (UTC +09:00) Korea Standard Time",2004,https://in-tendhost.co.uk/gggi/aspx/Tenders/Tenders_Detail?ProjectID=2004
"Pre-feasibility Study for Ground Mounted Solar Farm with Battery Energy Storage System at Vakabuli - Fiji",100014511,RFP,"19 Jan 2026 16:00 (UTC +09:00) Korea Standard Time",2000,https://in-tendhost.co.uk/gggi/aspx/Tenders/Tenders_Detail?ProjectID=2000
"Procurement of an Applicant Tracking System (ATS)",100014546,RFP,"16 Jan 2026 16:00 (UTC +09:00) Korea Standard Time",2001,https://in-tendhost.co.uk/gggi/aspx/Tenders/Tenders_Detail?ProjectID=2001
"Provision of Services for Private Sector Engagement and Development of Two High-Level Climate Adaptation Concept Notes with a Private Sector Focus",100014738,RFP,"13 Feb 2026 16:00 (UTC +09:00) Korea Standard Time",2013,https://in-tendhost.co.uk/gggi/aspx/Tenders/Tenders_Detail?ProjectID=2013
"Re_tender_Operationalizing Paraguay's National Carbon Market Framework for Increased Climate Ambition",100014786,RFP,"31 Jan 2026 16:00 (UTC +09:00) Korea Standard Time",2009,https://in-tendhost.co.uk/gggi/aspx/Tenders/Tenders_Detail?ProjectID=2009
"Technical Assessment for Selected Investment Proposal under the Plastics Circular Investment Initiative (PCII), Indonesia",100014797,RFP,"04 Feb 2026 16:00 (UTC +09:00) Korea Standard Time",2010,https://in-tendhost.co.uk/gggi/aspx/Tenders/Tenders_Detail?ProjectID=2010
"Technical Assistance for Designing a Pilot Biogas Production Plant with Aquatic Biomass in El Salvador",1000SV-08,RFP,"03 Feb 2026 16:00 (UTC +09:00) Korea Standard Time",2008,https://in-tendhost.co.uk/gggi/aspx/Tenders/Tenders_Detail?ProjectID=2008
"Technical Support in Formulation of the Building Sustainable, Inclusive, and Climate-Resilient Tourism in Papua New Guinea and the Solomon Islands Project Targeting the Adaptation Fund",100014632,RFP,"19 Jan 2026 16:00 (UTC +09:00) Korea Standard Time",2003,https://in-tendhost.co.uk/gggi/aspx/Tenders/Tenders_Detail?ProjectID=2003
