title,status,tender_type,country,close_date,url,node_id,full_title,notice_type,issue_date,project_code,project_title,contact_email,description,attachments,all_emails,contract_award_company,contract_award_country,contract_award_address
BCC2025-048 - Consultancy Service for the Evaluation of Health Sector Interventions by the Islamic Development Bank (IsDB),Closed,Expression of Interest,Saudi Arabia,24 August 2025,https://www.isdb.org/project-procurement/tenders/2025/eoi/bcc2025-048-consultancy-service-evaluation-health-sector-interventions-islamic,3356,IsDB,International Competitive Bidding,7 August 2025,,,704895cc.isdb.org@emea.teams.ms,"The Islamic Development Bank (IsDB) is an international development organization established in 1975 to foster economic development and social progress of its 57 member countries and Muslim communities in non-member countries. IsDB is governed by an international legal instrument that is its “Articles of Agreement” ratified by all its Member Countries.Based on its legal status, IsDB is neither incorporated nor registered under the laws of its Host Country (Kingdom of Saudi Arabia) or any of its member countries or any other country/state. Therefore, IsDB is a self-regulated organization.The Islamic Development Bank is seeking to invites eligible consultants to submit Request for Expression of Interest CONSULTANCY SERVICE FOR THE EVALUATION OF HEALTH SECTOR INTERVENTIONS BY THE ISLAMIC DEVELOPMENT BANK.Interested consultants must provide the following:i.              Information on availability for providing the requested services.ii.             Curriculum Vitae, including relevant publications and assignments; andiii.            Sample of similar works, certificates of assignments, and related references.Interested candidates are requested to submit their Expression of Interest (EOI) through the IsDB Procurement System using the email provided in the consultancy announcement.The proposal should be submitted no later than the following timeline:Date of Submission of the Information      : 24th August 2025Note:Contact for Clarification Email: General - BCC2025-048 EVALUATION OF HEALTH SECTOR INTERVENTIONS BY THE ISLAMIC DEVELOPMENT BANK704895cc.isdb.org@emea.teams.msExpression of Interest Submission Email: EOI Submission - BCC2025-048 EVALUATION OF HEALTH SECTOR INTERVENTIONS BY THE ISLAMIC DEVELOPMENT BANK _704895cc.isdb.org@emea.teams.msAdditionally, and most importantly, IsDB currently Implemented the Procure to Pay Solution with SAP Ariba, you are kindly required to register yourself/Esteemed Firm through Self registration link as follows for the RFP and future Business with IsDB.http://isdb.supplier.mn2.ariba.com/ad/selfRegistration/For further information and queries, Please do not hesitate to contact person specified within the ToR attached.",ToR Health Sector Evaluation_250730_0.pdf (https://www.isdb.org/project-procurement/sites/pproc/files/2025-08/ToR%20Health%20Sector%20Evaluation_250730_0.pdf),704895cc.isdb.org@emea.teams.ms,,,
Civil Works for the upgrading of Kumi-Ngora-Serere-Kagwara Road (95km) including the Construction of selected town and access roads (13km) to paved bituminous standard,Closed,Pre-Qualification,Uganda,25 August 2025,https://www.isdb.org/project-procurement/tenders/2025/pqn/civil-works-upgrading-kumi-ngora-serere-kagwara-road-95km-including-construction,3324,IsDB,IsDB Member Country Bidding,26 June 2025,UGA1065,Upgrading of National Roads in Uganda,mowt@works.go.ug,"SPECIFIC PROCUREMENT NOTICEINVITATION FOR PREQUALIFICATIONCountry:The Republic of UgandaName of the Project:Upgrading of National Roads in UgandaMode of Financing:Instalment Sales FinancingFinancing No.:UGA1065Contract Title:CIVIL WORKS FOR THEUPGRADING OF KUMI-NGORA-SERERE-KAGWARA ROAD (95KM) INCLUDING THE CONSTRUCTION OF SELECTED TOWN AND ACCESS ROADS (13KM) TO PAVED BITUMINOUS STANDARD1. This invitation for prequalification follows the General Procurement Notice (GPN) for this Project that appeared on the website of Islamic Development Bank (IsDB) on11th March 2025.2. The Government of the Republic of Uganda has applied for financing from the IsDB toward the cost of Upgrading of National Roads in Uganda and intends to apply part of the proceeds toward payments under the Contract for Civil Works for theUpgrading of Kumi-Ngora-Serere-Kagwara Road (95km) including the Construction of Selected Town and Access Roads (13km) to Paved Bituminous Standard.3. The Ministry of Works and Transport (MoWT) intends to prequalify contractors and/or firms for the Civil Works for the Upgrading of Kumi-Ngora-Serere-Kagwara Road (95km) including the Construction of Selected Town and Access Roads (13km) to Paved Bituminous Standard. Eligible applicants with the following key qualifications are invited to participate in this prequalification process.The detailed qualification requirements are provided in the Prequalification Document.It is expected that the bid invitation will be made in August 2025.4. Prequalification will be conducted through the prequalification procedures specified in the IsDB’s Guidelines for theProcurement of Goods, Works and Related Services under IsDB Project Financing, April 2019,Revised in February 2023(“Guidelines”). Bidding will be conducted through the International Competitive Bidding procedures as specified in the Guidelines. Onlyfirms from IsDB Member Countries shall be eligible to participate in the prequalification / bidding process.5. Interested eligible Applicants may obtain further information from and inspect the prequalification document at the address given at (8) below during office hours 9:00 to 17:00 hours.6. A complete set of prequalification documents in English may be purchased by interested Applicants, upon the submission of a written application to the address at (8) below and upon payment of a non-refundable fee of UGX 100,000 (Uganda Shillings One Hundred Thousand). The method of payment will be by registering the payment and generating a Bank Payment Advice Form on the Uganda Revenue Authority (URA) website by following the link: https://ura.go.ug/en/domestic-taxes/make-a-payment/generate-a-payment-slip/ and selecting “Other NTR” as the tax head; and thereafter making the payment in any of the Banks listed under “List of Banks authorized to collect URA payments.” Diamond Trust Bank is recommended for this purpose. The Applicant may collect the prequalification document from the MoWT Offices indicated at (8) below against submission of evidence of payment7. Applications for prequalification should be submitted in sealed envelopes, delivered to the address below by 11.00 hours on25th August 2025, and be clearly marked “Application to Prequalify for Civil Works for the Upgrading of Kumi-Ngora-Serere-Kagwara Road (95km) including the Construction of Selected Town and Access Roads (13km) to Paved Bituminous Standard. Electronic bidding will not be permitted. Late applications will be rejected. The applications will be publicly opened in the presence of Applicants’ designated representatives and anyone who chooses to attend come at the address at (8) below on25th August2025, at 11.30 hours.8. The Address referred to above is:The Assistant Commissioner , Procurement and Disposal Unit,Ministry of Works and Transport,Plot 57-59 Jinja Road,P. O. Box 7174 Kampala, Uganda.Tel: +256 414-259139/322Fax: +256 414-236369Email:mowt@works.go.ug",SPN-Invitation for Prequalification_Kumi-Ngora-Serere-Kagwara.docx (https://www.isdb.org/project-procurement/sites/pproc/files/2025-06/SPN-Invitation%20for%20Prequalification_Kumi-Ngora-Serere-Kagwara.docx),mowt@works.go.ug,,,
Sélection d'un cabinet pour la réalisation des études de faisabilité du numérique dans la mise en place de trois laboratoires de standard international à l’université de Lomé et de Kara et à l’école normale supérieure d’Atakpamé,Fermé,Expression of Interest,Togo,25 August 2025,https://www.isdb.org/project-procurement/fr/appels-doffres/2025/eoi/selection-dun-cabinet-pour-la-realisation-des-etudes-de-faisabilite-du,3360,IsDB,,13 August 2025,TGO 1024,"Projet d’Appui à la mise en œuvre de la Réforme de l’Enseignement supérieur en Sciences et Ingénierie (PARESI), phase 2",contact.paresi@gmail.com,"APPEL À MANIFESTATION D’INTÉRÊT(SERVICES DE CONSULTANTS – SELECTION DE FIRMES)AMI n°002/2025/MESR/CAB/PRMP/PARESISélection d'un cabinet pour la réalisation des études de faisabilité du numérique dans la mise en place de trois laboratoires de standard international à l’université de Lomé et de Kara et à l’école normale supérieure d’AtakpaméPAYS:TogoNOM DU PROJET:Projet d’Appui à la mise en œuvre de la Réforme de l’Enseignement supérieur en Sciences et Ingénierie (PARESI), phase 2SECTEUR:EducationSERVICES DE CONSULTANTS:Sélection d'un cabinet pour la réalisation des études de faisabilité du numérique dans la mise en place de trois laboratoires de standard international à l’université de Lomé et de Kara et à l’école normale supérieure d’AtakpaméMODE DE FINANCEMENT:PrêtN° DE FINANCEMENT:TGO 1024Le gouvernementde la Républiquedu Togo a reçu un financement de la Banque Islamique de Développement afin de couvrir le coût desactivités du projet d’Appui à la mise en œuvre de la Réforme de l’Enseignement supérieur en Sciences et Ingénieries (PARESI), et a l’intention d’utiliser une partie des sommes accordées pour financer des services de consultant.La mission consiste à réaliser une étude de faisabilité impliquant le système numérique dans la réalisation du projet d’Appui à la mise en œuvre de la réforme de l’enseignement supérieur en science et Ingénierie (PARESI) notamment l’intégration des laboratoires virtuels aux trois laboratoires académiques de niveau universitaire en construction à l’Université de Lomé, Kara et à l’école normale supérieure d’Atakpamé.Les Termes de Référence (TdR) détaillés de la mission sont disponibles à l’adresse ci-dessous :Personne responsable des marchés publics/ Ministère de l’enseignement supérieur et de larechercheTél. : 00228 90 25 8474 / 90 09 60 43BP.398/12175 Lomé Togo, sis au quartier administratif, en face du CASEF.Leministère de l’enseignement supérieur et de la recherche, l’agence d’exécution invite les bureaux de Consultants (« Consultants ») éligibles à manifester leur intérêt en vue de fournir les services ci-dessus.Les Consultants intéressés doivent fournir des renseignements spécifiques démontrant qu’ils sont pleinement qualifiés pour réaliser les prestations (documentation, référence de prestations, expérience dans des conditions comparables, disponibilité de compétences adéquates parmi leur personnel, etc.).Les critères d’établissement de la liste restreinte sont :CRITERESExpérience générale dans le domaine de la conception et de l’intégration du numérique dans les bâtiments d’au moins cinq (05) annéesRéalisation d’au moins (02) deux missions d’étude de faisabilité, APS, APD et DAO dans le domaine de l’intégration du système numérique et la mise en œuvre des solutions numériques pour l’enseignement (présentiel, à distance, hydride ou comodal) ou pour des bâtiments à usage publics durant les dix (10) dernières années (page de titre et de signature des marchés, les attestations de bonne fin d’exécution)Réalisation d’au moins (02) deux missions de contrôle et de suivi dans le domaine de l’intégration du système numérique et la mise en œuvre des solutions numériques pour l’enseignement (présentiel, à distance, hydride ou comodal) ou pour des bâtiments à usage publics durant les dix (10) dernières années (page de titre et de signature des marchés, les attestations de bonne fin d’exécution)Les Personnels-clés ne feront pas l’objet d’évaluation au stade de l’établissement de la liste retreinte.LesConsultantsintéressés sont invités à prendre connaissance des Clauses 1.23 et 1.24 des Directives sur l’acquisition des Services de Consultants dans le cadre des Projets financés par la Banque Islamique de Développement (les « Directives ») définissant les règles de la BIsD concernant les conflits d’intérêt.Les Consultants peuvent s’associer avec d’autres firmes afin de renforcer leurs qualifications en indiquant clairement le type d’association, c’est-à-dire un groupement de consultants, ou une intention de sous-traitance.  Dans le cas de groupement, tous les partenaires du groupement seront conjointement et solidairement responsables pour la totalité du contrat, en cas d’attribution.La sélection se fera en conformité avec la méthode basée sur la qualité – coût (SBQC) stipulée dans lesDirectives pour l’Acquisition de service consultant dans le cadre du financement de projets par la Banque Islamique de Développement. Edition d’Avril 2019, révisée en février 2023.Les consultants intéressés peuvent obtenir des informations additionnelles à l'adresse mentionnée ci-dessous aux heures d’ouverture de bureaux indiquées :Personne responsable des marchés publics/ Ministère de l’enseignement supérieur et de la rechercheTél. :00228 90 25 8474 / 90 09 60 43BP. 398/12175 Lomé Togo, sis au quartier administratif, en face du CASEF, tous les jours ouvrables de8h 30 à 11h GMTpour la matinée et de de15h 30 à 17h GMTpour les après-midis.Les manifestations d'intérêt sous forme écrite doivent être déposées en personne en version physique à l'adresse mentionnée ci-dessous au plus tard le25 Août 2025 à 11 heures précises. A l’adresse suivanteMinistère de l’enseignement supérieur et de la recherche, sis au quartier administratif, en face du CASEF. Bureau de la Personne responsable des marchés publics /À l'attention :Personne responsable des marchés publics         BP. 398/12175 LoméTogo ; Tél. : +228 90 25 8474 / 90 09 60 43;Courriel :contact.paresi@gmail.com",20250716_120432_AMI_etude_de_faisabilité_du_numériqu.docx (https://www.isdb.org/project-procurement/sites/pproc/files/2025-08/20250716_120432_AMI_etude_de_faisabilit%C3%A9_du_num%C3%A9riqu.docx),contact.paresi@gmail.com,,,
Projet de Developpement des Infrastructures Agricoles et de  Desenclavement dans la Basse et Moyenne Vallee de L’oueme - AVIS GENERAL DE PASSATION,Fermé,General Procurement Notice,Benin,28 August 2025,https://www.isdb.org/project-procurement/fr/appels-doffres/2024/gpn/projet-de-developpement-des-infrastructures-agricoles-et-de-desenclavement,2854,IsDB,Enchères Concurrentielles Internationales,28 August 2024,BEN 1017,,prmpmaep2019@yahoo.com,"PROJET DE DEVELOPPEMENT DES INFRASTRUCTURES AGRICOLES ET DEDESENCLAVEMENT DANS LA BASSE ET MOYENNE VALLEE DE L’OUEME(PDIAD-BMVO) - BEN1017La République du Bénin a obtenu un montant de cent millions d’Euros sous forme de financement vente à tempérament à travers l’initiative « Food Security Response Programme (FSRP) » de la Banque Islamique de Développement (BIsD pour financer partiellement leProjet de Développement des Infrastructures Agricoles et de Désenclavement dans la Basse et Moyenne Vallée de L’Ouémé (PDIAD-BMVO)et à l’intention d’utiliser une partie de ce financement pour effectuer des paiements pour l’acquisition de biens, travaux et services connexes et de services de consultants nécessaires dans le cadre de ce projet.Ce projet sera financé conjointement par la Banque Ouest Africaine de Développement (BOAD).L'objectif global du projet est de contribuer à l’amélioration de la sécurité alimentaire et des conditions de vie des populations ciblées dans la vallée de l’Ouémé, par l’aménagement de périmètres irrigués, la réalisation de pistes d'accès et d’ouvrages de franchissement ainsi que la construction d'infrastructures socio-économiques.Il vise spécifiquement ài) améliorer les productions agricoles et halieutiques sur une base durable et résiliente ; ii) désenclaver la zone du projet pour faciliter la commercialisation des produits iii) renforcer les capacités adaptatives des populations aux risques climatiques (iv) diversifier et accroitre les revenus tirés des chaines de valeurs agricoles et halieutiques ; v) contribuer à la création de richesse ; iv) contribuer à la création d’emplois et v) contribuer à la sécurité alimentaire et nutritionnelle.Le projet comprendra les composantes suivantes :Composante-1: Aménagements hydro-agricoles, piscicoles et développement de l’ingénierie sociale ;Composante-2: Réalisation des infrastructures de désenclavementComposante-3: Développement des chaines de valeurs agricoles ;Composante-4: Appui à la coordination et à la gestion du projet ;Composante-5: Audit Financier ;Composante-6: Réponses aux urgencesLes acquisitions financées par la Banque seront effectuées conformément aux Directives pour l’acquisition de Biens, Travaux et services connexes dans le cadre des Projets financés par la Banque Islamique de Développement (édition Février 2023) et sont ouvertes à tous les soumissionnaires éligibles, tels que définis dans ces Directives. Les acquisitions de services de consultants seront effectuées conformément aux Directives pour l’acquisition de Services de Consultants dans le cadre des Projets financés par la Banque Islamique de Développement (édition Février 2023)Marchés de Biens:La passation des marchés de biens se fera comme suit :Acquisition de l’engrais (Urée, SSP, KCl, K2SO4, NPK) au profit du maïs, riz, maraîchage :Appel d’Offres National (AON)Acquisition de semences certifiés :Consultation de Fournisseurs ;Acquisition de kits pour les aggripreneurs, :Consultation de FournisseursAcquisition et installation d’un générateur :Consultations deFournisseursAcquisition des Equipements Informatiques (ordinateurs, Imprimante et photocopieuse à usage intensif +vidéoprojecteurs) :Consultations de FournisseursMarchés de Travaux:La passationdes marchés des Travaux se fera comme suit :Travaux d’aménagement des périmètres irrigués avec maîtrise totale de l’eau de 2 155 ha y compris la réalisation des forages équipés de système photovoltaïque en appui à l’irrigation, la construction et l’équipement de stations mixtes (pompage de l’eau d’irrigation et exhaure de l’eau de drainage), les travaux de protection des périmètres contre les eaux extérieures, :AOI/PM en deux (02) lots avec préqualificationTravaux de construction des pistes et digues pistes (120 km) et de quatre (04) ouvrages de franchissement de portée totale de 270 ml pour relier la rive gauche à la rive droite du fleuve Ouémé à la hauteur de la commune d’Adjohoun :AOI/PM en lot unique avec préqualificationTravaux de construction d’infrastructures rurales (14 magasins équipés de 500 tonnes, 14 hangars de 10 places chacun, 28 aires de séchage, 7 Postes d’Eau Autonomes (PEA),AON en quatre LotsSélection de Consultants:La passation de marchés des services de consultants se fera comme suit :Suivi et contrôles des travaux : SQBC/LC ;Recrutement d’agence de communication ;IC/LCService de consultant pour l’études de base du projet ;SBQC/LCService de consultant pour l'évaluation à mi-parcours du projet ;SBQC/LCService de consultant pour l'évaluation finale du projet;SBQC/LCRecrutement de cabinet d'audit de Compte du Projet : LCS/LCLes avis spécifiques de passation des marchés pour les acquisitions à effectuer par Appel d’Offres International (AOI) ou Appel d’Offres International réservé aux pays membres (AOI/PM) et les appels à manifestations d’intérêt pour les services de consultants seront publiés au fur et à mesure qu’ils seront disponibles, sur le site internet de la BIsD, sur le portail des marchés-publics du Bénin (www.marchés-publics.bj), le journal des marchés publics du Bénin, le journal la Nation et/ou le journal LE MATINAL.Lapréqualificationd’entreprises est prévue pour les marchés ci-après :Travaux de génie civil et travaux de terrassement pour l’aménagement de périmètres irrigués avec maîtrise totale de l’eau y compris Construction et équipement d’ouvrages d’irrigation (forage, stations d’exhaure, station mixte)lot-1 (1 172 Ha – IsDB) ;Construction des digues, pistes canal et digues de protection y compris quatre ponts de longueur totale 270 m (i- Construction de digues pistes et de pistes sur terre ferme pour l’accès aux périmètres aménagés et aux villages ; ii- Construction d’un ouvrage d’environ 270 m de portée pour relier la rive droite et la rive gauche du fleuve à la hauteur d’Adjohoun)en lot uniqueLes candidats intéressés peuvent obtenir des renseignements supplémentaires et doivent confirmer leur intérêt par écrit auprès de :Nom de la personne à contacter : HOUNYO FlorentTitre/fonction de la personne à contacter : Personne Responsable des Marchés Publics de l’Agence d’exécutionNom de l’Organisme : Ministère de l’Agriculture, de l’Elevage et de la Pêche (MAEP)Téléphone : (229) 21 30 04 96Télécopie : (229) 21 30 03 26Courriel prmpmaep2019@yahoo.comSite internetVeuillez noterque les candidats soumissionnaires souhaitant obtenir des renseignements supplémentaires sur les acquisitions en cause ou sur le projet en général doivent, sauf mention contraire, prendre contact avec l’organisme en charge du projet et non la BID.",BEN 1017_ AVIS GENERAL DE PASSATION DES MARCHES.pdf (https://www.isdb.org/project-procurement/sites/pproc/files/2024-08/BEN%201017_%20AVIS%20GENERAL%20DE%20PASSATION%20DES%20MARCHES.pdf),prmpmaep2019@yahoo.com,,,
"Séletction de consultant pour les services financiers de l'audit externe du projet pour les exercices 2023,2024,2025,20256 - Attribution du contrat",Fermé,Contract Award,Mauritania,29 August 2025,https://www.isdb.org/project-procurement/fr/appels-doffres/2024/contract-award/seletction-de-consultant-pour-les-services-financiers-de-laudit,2855,IsDB,,29 August 2024,,,PPFM@isdb.org,,PUB BID.pdf (https://www.isdb.org/project-procurement/sites/pproc/files/2024-08/PUB%20BID.pdf),"cabinet-amec-nordia@yahoo.fr, PPFM@isdb.org",Grpt AMEC - Nordia & Associes,Mauritania,"Crpt AMEC -Nordia & AssociésAdresse : lmmeuble Lalla médicale.llot K, 175, 1"". érage. Bp 4908Nouachott Tél : 45210077Mail : cabinet-amec-nordia@yahoo.fr"
"L'ATTRIBUTION DES MARCHÉS - •	Lot-1: Fourniture, installation, formation et mise en service d'équipements médicotechniques pour huit (8) centres de Santé urbains (CSU), Dix-sept (17) centres de Santé ruraux (CSR) et l’Hôpital régional (HR) Matoto Enta",Fermé,Contract Award,Guinea,31 August 2025,https://www.isdb.org/project-procurement/fr/appels-doffres/2025/contract-award/lattribution-des-marches-lot-1-fourniture-installation-formation,3266,IsDB,,30 April 2025,"2GUI-0129, N°2-GUI-0132 et 7 GUI-0130",Projet d’Appui au Secteur de la Santé Post-Ebola (PASSPE),robertcondeh66@gmail.com,,PUBLICATION DE L'ATTRIBUTION DES MARCHES DE BIENS-1-3.pdf (https://www.isdb.org/project-procurement/sites/pproc/files/2025-04/PUBLICATION%20DE%20L%27ATTRIBUTION%20DES%20MARCHES%20DE%20BIENS-1-3.pdf),"infobruxelles@fse-export.com, infoparis@fse-export.com, hmarquis@fse-export.com, robertcondeh66@gmail.com",FSE GROUPEMENT,Belgium,"9, Rue du Moniteur1000 Bruxelles, BELGIQUEE-Mail : infobruxelles@fse-export.com / hmarquis@fse-export.com / infoparis@fse-export.com"
"L'ATTRIBUTION DES MARCHÉS - •	Lot-4: Fourniture, installation, formation et mise en service d'équipements d’énergie solaire pour 8 Centres de Santé Urbains (CSU), 17 Centres de Santé Ruraux et 5 Centres de Santé Améliorés (CSA)",Fermé,Contract Award,Guinea,31 August 2025,https://www.isdb.org/project-procurement/fr/appels-doffres/2025/contract-award/lattribution-des-marches-lot-4-fourniture-installation-formation,3267,IsDB,,30 April 2025,"2GUI-0129, N°2-GUI-0132 et 7 GUI-0130",Projet d’Appui au Secteur de la Santé Post-Ebola (PASSPE),robertcondeh66@gmail.com,,PUBLICATION DE L'ATTRIBUTION DES MARCHES DE BIENS (1).pdf (https://www.isdb.org/project-procurement/sites/pproc/files/2025-04/PUBLICATION%20DE%20L%27ATTRIBUTION%20DES%20MARCHES%20DE%20BIENS%20%281%29.pdf),"kama-sa@kama-sa.com, robertcondeh66@gmail.com",KAMA SA,Mali,"Bamako, Hamdallaye, ACI 2000, en face du rondpoint Bougie BaTél : +223 20 23 03/Fax 20 23 03 05 – BP : 1514E-Mail : kama-sa@kama-sa.com"
"L'ATTRIBUTION DES MARCHÉS - •	Lot-5: Fourniture, installation, formation et mise en service d'équipements d'informatique, de reprographie, de bureautique, d’audiovisuel, de matériel",Fermé,Contract Award,Guinea,31 August 2025,https://www.isdb.org/project-procurement/fr/appels-doffres/2025/contract-award/lattribution-des-marches-lot-5-fourniture-installation-formation,3268,IsDB,,30 April 2025,"2GUI-0129, N°2-GUI-0132 et 7 GUI-0130",Projet d’Appui au Secteur de la Santé Post-Ebola (PASSPE),robertcondeh66@gmail.com,,PUBLICATION DE L'ATTRIBUTION DES MARCHES DE BIENS (2).pdf (https://www.isdb.org/project-procurement/sites/pproc/files/2025-04/PUBLICATION%20DE%20L%27ATTRIBUTION%20DES%20MARCHES%20DE%20BIENS%20%282%29.pdf),"info@emak-mali.com, robertcondeh66@gmail.com",EMAK-SARL,Mali,Quartier Mali-Rue 201 du CSREF C-5 / Tel : (+223) 20 23 18 18E-Mail : info@emak-mali.com / www.emak-mali.com
BCC2025-045 - Comprehensive Report/Study on the Corporate Governance of the IsDB,Closed,Expression of Interest,Saudi Arabia,2 September 2025,https://www.isdb.org/project-procurement/tenders/2025/eoi/bcc2025-045-comprehensive-reportstudy-corporate-governance-isdb,3359,IsDB,,12 August 2025,,,6f9a4d04.isdb.org@emea.teams.ms,"Invitation for Expression of InterestComprehensive Report/Study on the Corporate Governance of the IsDB1. The Islamic Development Bank (IsDB) has approved an administrative budget for financing consulting services (the Services) for the above project. The Terms of Reference (TOR) of the Services is in Appendix A. The Services will be provided by consulting firm. IsDB will select and engage the Consultant in accordance with the IsDB Corporate Procurement Policy (Policy).2. IsDB now invites Expression of Interest (EOI) from potential individual applicants for consideration by IsDB in determining a shortlist of candidates to be invited to submit proposals. Depending on the number of the EOIs received and the qualifications of the applicants, IsDB may or may not short list all potentials who have submitted EOIs.3. Applicants who wish to submit an EOI should complete the EOI Form in Appendix B and submit it through IsDB’s online IEOI facility or by email, fax or courier to the following authorized representative of IsDB:Consultant Selection PanelIslamic Development BankEmail: Designated email addressDeadline for EOI/Proposal Submission: 2 September 2025Contact for Clarification Email: General - BCC2025-045 Comprehensive Report/Study on the Corporate Governance of the IsDB -  6f9a4d04.isdb.org@emea.teams.msExpression of Interest Submission Email: EOI Submission - BCC2025-045 Comprehensive Report/Study on the Corporate Governance of the IsDB -  6f9a4d04.isdb.org@emea.teams.msAppendix A: Terms of Reference (Attached)Appendix B: EOI Form (Attached)",ToR_General Report-Study on the Corporate Governance of the IsDB V2.0.pdf (https://www.isdb.org/project-procurement/sites/pproc/files/2025-08/ToR_General%20Report-Study%20on%20the%20Corporate%20Governance%20of%20the%20IsDB%20V2.0.pdf),6f9a4d04.isdb.org@emea.teams.ms,,,
TRAVAUX DE CONSTRUCTION DU CENTRE HOSPITALIER PROVINCIAL DE TAOURIRT - Lot N°02 : Plomberie Sanitaire – Protection Incendie – Climatisation – Traitement D’air – Ventilation – Desenfumage,Fermé,Specific Procurement Notice,Morocco,3 September 2025,https://www.isdb.org/project-procurement/fr/appels-doffres/2025/spn/travaux-de-construction-du-centre-hospitalier-provincial-de-taourirt-lot,3331,IsDB,Enchères Concurrentielles Internationales,9 July 2025,,,ahm.lahmidi@gmail.com,"AVIS D’APPEL D’OFFRES OUVERT INTERNATIONAL SUR OFFRES DE PRIXN° : AOOI/10/2025/ANEPOLe03/09/2025 à 10h00, il sera procédé, dans les locauxde la Direction Régionale de l’Agence Nationale des Equipements Publics De l’Oriental, sis àBoulevard Al Maghreb Al Arabi OujdaBP 752, à l’ouverture des plis relatifs à l’appel d’offres international sur offres de prix, pour :TRAVAUX DE CONSTRUCTION DU CENTRE HOSPITALIER PROVINCIAL DE TAOURIRTLOT N°02 : PLOMBERIE SANITAIRE – PROTECTION INCENDIE – CLIMATISATION – TRAITEMENT D’AIR – VENTILATION – DESENFUMAGELe dossier d'appel d'offres doit être téléchargé à partir du portail des marchés publics accessible à l'adresse:www.marchespublics.gov.maLe cautionnement provisoire est fixéàla somme de :UN MILLION TROIS CENT MILLE DIRHAMS(1 300 000,00DH)L’estimation des coûts des prestations, est fixée à la somme de :SOIXANTE CINQ MILLION QUATRE CENT VINGT QUATRE MILLE DEUX CENT VINGT TROIS DIRHAMS ET VINGT CENTIMES TOUTES TAXES COMPRISES(65 424 223,20DHS).L’appel d’offres est lancé conformément aux dispositions du Décret n°2-22-431 du 15 Chaabane 1444 (8 mars 2023) relatif aux marchés publics, avec des ajustements nécessaires pour se conformer aux Directives pour l’acquisition de Biens, Travaux et Services connexes dans le cadre des Projets financés par la Banque Islamique de Développement (BID), du fait du financement de ce marché par cette institution. Les procédures de passation de marchés doivent être conformes aux Principes Fondamentaux de Passation des Marchés de la BID et garantir que les Directives de la Banque contre la corruption visée dans l’Accord de financement s’appliquent.Le contenu, la présentation ainsi que le dépôt des dossiers des concurrents doivent être conformes aux dispositions de l’accord de financement n° MAR1037 passé entre le royaume du Maroc et la Banque Islamique de Développement (BID) en date du 28 Septembre 2020, et des articles 30 , 32 et 135 du décret n° 2-22-431 du 15 chaabane 1444 (8 mars 2023) relatif aux marchés publics.Les concurrents doivent déposer leurs dossiers par voie électronique dans le portail des marchés publicswww.marchespublics.gov.maconformément à l’Arrêté du Ministre Délégué auprès de la Ministre de l’Economie et des Finances, chargé du Budget n°1692-23 du 4 hija 1444 (23 juin 2023) relatif à la dématérialisation des procédures, des documents et des pièces relatifs aux marchés publics.Les pièces justificatives à fournir sont celles prévues par l'article n°5du règlement de consultation.La documentation technique doit être déposée à la fois, au niveau de l’enveloppe contenant le dossier administratif au portail marocain des marchés publics, et au service des marchés de la Direction Régionale de l’Agence Nationale des Equipements Publics De l’Oriental avant le03/09/2025 à 10h00.Le dossier technique doit comprendre :Pour les concurrents installés au Maroc :Le certificat de qualification et de classification délivré par le ministère de l’équipement et de l’eau ou sa copie certifiée conforme à l’original suivant :Secteur : M : Plomberie - Chauffage - ClimatisationQualification exigée: M2, M4Classe: 1Pour les concurrents non installés au Maroc :Fournir le dossier technique tel qu’il est prévu dans le règlement de la consultation.Pour les demandes de renseignements: ahm.lahmidi@gmail.com",AVIS FRANCAIS AOOI-10-2025-ANEPO.docx (https://www.isdb.org/project-procurement/sites/pproc/files/2025-07/AVIS%20FRANCAIS%20AOOI-10-2025-ANEPO.docx) | AVIS ARABE AOOI-10-2025-ANEPO.docx (https://www.isdb.org/project-procurement/sites/pproc/files/2025-07/AVIS%20ARABE%20AOOI-10-2025-ANEPO.docx),ahm.lahmidi@gmail.com,,,
