Title,TOT_Reference_No,Country,Deadline,Notice_Type,Summary,Financier,Purchaser_Ownership,Tender_Value,Document_Ref_No,Purchaser_Name,Purchaser_Address,Description,Detail_URL,Detail_Scraped,Country_Detail,Deadline_Detail,TOT_Reference_Detail
Furniture Items..,133628644,Pakistan,10 Feb 2026,Tender,Furniture Items..,Self Financed,Public,Refer Document,[Login Required],[Login Required],[Login Required],"GARRISON HEADQUARTERS has floated a tender for Furniture Items... The project location is Pakistan and the tender is closing on 10 Feb 2026. The tender notice number is -, while the TOT Ref Number is 133628644. Bidders can have further information about the Tender and can request the complete Tender document by",https://www.tendersontime.com/tenders-details/furniture-items-7f702e4/,True,Pakistan,10 Feb 2026,133628644
Auction,133628642,Pakistan,03 Feb 2026,Tender,Auction,Self Financed,Public,Refer Document,[Login Required],[Login Required],[Login Required],"ORDNANCE UNIT has floated a tender for Auction. The project location is Pakistan and the tender is closing on 03 Feb 2026. The tender notice number is -, while the TOT Ref Number is 133628642. Bidders can have further information about the Tender and can request the complete Tender document by",https://www.tendersontime.com/tenders-details/auction-7f702e2/,True,Pakistan,03 Feb 2026,133628642
Repair / Maint/ Repl & Renov Works,133628641,Pakistan,19 Jan 2026,Tender,Repair / Maint/ Repl & Renov Works,Self Financed,Public,Refer Document,[Login Required],[Login Required],[Login Required],"MILITARY ENGINEERING SERVICES (ARMY) has floated a tender for Repair / Maint/ Repl & Renov Works. The project location is Pakistan and the tender is closing on 19 Jan 2026. The tender notice number is -, while the TOT Ref Number is 133628641. Bidders can have further information about the Tender and can request the complete Tender document by",https://www.tendersontime.com/tenders-details/repair-maint-repl-renov-works-7f702e1/,True,Pakistan,19 Jan 2026,133628641
Invitation of Applications for Pre-Qualification of Construc,133628639,Pakistan,03 Feb 2026,Tender,Invitation of Applications for Pre-Qualification of Construc,Self Financed,Public,Refer Document,[Login Required],[Login Required],[Login Required],"PAKISTAN AIRPORTS AUTHORITY (PAA) has floated a tender for Invitation of Applications for Pre-Qualification of Construc. The project location is Pakistan and the tender is closing on 03 Feb 2026. The tender notice number is -, while the TOT Ref Number is 133628639. Bidders can have further information about the Tender and can request the complete Tender document by",https://www.tendersontime.com/tenders-details/invitation-applications-pre-qualification-construc-7f702df/,True,Pakistan,03 Feb 2026,133628639
"Repair/ Maint/ Repl/renov, etc..",133628638,Pakistan,19 Jan 2026,Tender,"Repair/ Maint/ Repl/renov, etc..",Self Financed,Public,Refer Document,[Login Required],[Login Required],[Login Required],"MILITARY ENGINEERING SERVICES (ARMY) has floated a tender for Repair/ Maint/ Repl/renov, etc... The project location is Pakistan and the tender is closing on 19 Jan 2026. The tender notice number is -, while the TOT Ref Number is 133628638. Bidders can have further information about the Tender and can request the complete Tender document by",https://www.tendersontime.com/tenders-details/repair-maint-replrenovetc-7f702de/,True,Pakistan,19 Jan 2026,133628638
Procurement of Laptops,133628636,Pakistan,28 Jan 2026,Tender,Procurement of Laptops,Self Financed,Public,Refer Document,[Login Required],[Login Required],[Login Required],"PSO RENEWABLE ENERGY PVT. LIMITED has floated a tender for Procurement of Laptops. The project location is Pakistan and the tender is closing on 28 Jan 2026. The tender notice number is -, while the TOT Ref Number is 133628636. Bidders can have further information about the Tender and can request the complete Tender document by",https://www.tendersontime.com/tenders-details/procurement-laptops-7f702dc/,True,Pakistan,28 Jan 2026,133628636
Running of Faculty Cafeteria,133628635,Pakistan,29 Jan 2026,Tender,Running of Faculty Cafeteria,Self Financed,Public,Refer Document,[Login Required],[Login Required],[Login Required],"BAHRIA UNIVERSITY has floated a tender for Running of Faculty Cafeteria. The project location is Pakistan and the tender is closing on 29 Jan 2026. The tender notice number is -, while the TOT Ref Number is 133628635. Bidders can have further information about the Tender and can request the complete Tender document by",https://www.tendersontime.com/tenders-details/running-faculty-cafeteria-7f702db/,True,Pakistan,29 Jan 2026,133628635
Tender For Misc Items ..,133628634,Pakistan,31 Jan 2026,Tender,Tender For Misc Items ..,Self Financed,Public,Refer Document,[Login Required],[Login Required],[Login Required],"HQ 1 CORPS has floated a tender for Tender For Misc Items ... The project location is Pakistan and the tender is closing on 31 Jan 2026. The tender notice number is -, while the TOT Ref Number is 133628634. Bidders can have further information about the Tender and can request the complete Tender document by",https://www.tendersontime.com/tenders-details/tender-for-misc-items-7f702da/,True,Pakistan,31 Jan 2026,133628634
Services Required for Testing of EH&S Parameters,133628633,Pakistan,28 Jan 2026,Tender,Services Required for Testing of EH&S Parameters,Self Financed,Public,Refer Document,[Login Required],[Login Required],[Login Required],"PAKISTAN STATE OIL has floated a tender for Services Required for Testing of EH&S Parameters. The project location is Pakistan and the tender is closing on 28 Jan 2026. The tender notice number is -, while the TOT Ref Number is 133628633. Bidders can have further information about the Tender and can request the complete Tender document by",https://www.tendersontime.com/tenders-details/services-required-testing-ehs-parameters-7f702d9/,True,Pakistan,28 Jan 2026,133628633
Procurement of API Coupling,133628630,Pakistan,28 Jan 2026,Tender,Procurement of API Coupling,Self Financed,Public,Refer Document,[Login Required],[Login Required],[Login Required],"PAKISTAN STATE OIL has floated a tender for Procurement of API Coupling. The project location is Pakistan and the tender is closing on 28 Jan 2026. The tender notice number is -, while the TOT Ref Number is 133628630. Bidders can have further information about the Tender and can request the complete Tender document by",https://www.tendersontime.com/tenders-details/procurement-api-coupling-7f702d6/,True,Pakistan,28 Jan 2026,133628630
"Procurement of Satellite & Fibre Equipment, PTV HQ ISBD",133628629,Pakistan,29 Jan 2026,Tender,"Procurement of Satellite & Fibre Equipment, PTV HQ ISBD",Self Financed,Public,Refer Document,[Login Required],[Login Required],[Login Required],"PAKISTAN TELEVISION CORPORATION LIMITED has floated a tender for Procurement of Satellite & Fibre Equipment, PTV HQ ISBD. The project location is Pakistan and the tender is closing on 29 Jan 2026. The tender notice number is -, while the TOT Ref Number is 133628629. Bidders can have further information about the Tender and can request the complete Tender document by",https://www.tendersontime.com/tenders-details/procurement-satellite-fibre-equipment-ptv-hq-isbd-7f702d5/,True,Pakistan,29 Jan 2026,133628629
SSGC/LP/NT/PQ/PT/2119033 (Gas Regulator),133628628,Pakistan,04 Feb 2026,Tender,SSGC/LP/NT/PQ/PT/2119033 (Gas Regulator),Self Financed,Public,Refer Document,[Login Required],[Login Required],[Login Required],"SUI SOUTHERN GAS COMPANY LIMITED has floated a tender for SSGC/LP/NT/PQ/PT/2119033 (Gas Regulator). The project location is Pakistan and the tender is closing on 04 Feb 2026. The tender notice number is -, while the TOT Ref Number is 133628628. Bidders can have further information about the Tender and can request the complete Tender document by",https://www.tendersontime.com/tenders-details/ssgclpntpqpt2119033-gas-regulator-7f702d4/,True,Pakistan,04 Feb 2026,133628628
"Stationery Items, etc..",133628627,Pakistan,27 Jan 2026,Tender,"Stationery Items, etc..",Self Financed,Public,Refer Document,[Login Required],[Login Required],[Login Required],"HQ 1 CORPS has floated a tender for Stationery Items, etc... The project location is Pakistan and the tender is closing on 27 Jan 2026. The tender notice number is -, while the TOT Ref Number is 133628627. Bidders can have further information about the Tender and can request the complete Tender document by",https://www.tendersontime.com/tenders-details/stationery-itemsetc-7f702d3/,True,Pakistan,27 Jan 2026,133628627
"Annual Repair, etc..",133628626,Pakistan,26 Jan 2026,Tender,"Annual Repair, etc..",Self Financed,Public,Refer Document,[Login Required],[Login Required],[Login Required],"ESTATE OFFICE has floated a tender for Annual Repair, etc... The project location is Pakistan and the tender is closing on 26 Jan 2026. The tender notice number is -, while the TOT Ref Number is 133628626. Bidders can have further information about the Tender and can request the complete Tender document by",https://www.tendersontime.com/tenders-details/annual-repairetc-7f702d2/,True,Pakistan,26 Jan 2026,133628626
SSGC/LP/EPADS/PT/2119030 (Spares),133628624,Pakistan,04 Feb 2026,Tender,SSGC/LP/EPADS/PT/2119030 (Spares),Self Financed,Public,Refer Document,[Login Required],[Login Required],[Login Required],"SUI SOUTHERN GAS COMPANY LIMITED has floated a tender for SSGC/LP/EPADS/PT/2119030 (Spares). The project location is Pakistan and the tender is closing on 04 Feb 2026. The tender notice number is -, while the TOT Ref Number is 133628624. Bidders can have further information about the Tender and can request the complete Tender document by",https://www.tendersontime.com/tenders-details/ssgclpepadspt2119030-spares-7f702d0/,True,Pakistan,04 Feb 2026,133628624
Annual Repair & Maintenance,133628623,Pakistan,30 Jan 2026,Tender,Annual Repair & Maintenance,Self Financed,Public,Refer Document,[Login Required],[Login Required],[Login Required],"ESTATE OFFICE has floated a tender for Annual Repair & Maintenance. The project location is Pakistan and the tender is closing on 30 Jan 2026. The tender notice number is -, while the TOT Ref Number is 133628623. Bidders can have further information about the Tender and can request the complete Tender document by",https://www.tendersontime.com/tenders-details/annual-repair-maintenance-7f702cf/,True,Pakistan,30 Jan 2026,133628623
"Civil Works, etc..",133628621,Pakistan,26 Jan 2026,Tender,"Civil Works, etc..",Self Financed,Public,Refer Document,[Login Required],[Login Required],[Login Required],"MINISTRY OF PLANNING has floated a tender for Civil Works, etc... The project location is Pakistan and the tender is closing on 26 Jan 2026. The tender notice number is -, while the TOT Ref Number is 133628621. Bidders can have further information about the Tender and can request the complete Tender document by",https://www.tendersontime.com/tenders-details/civil-works-etc-7f702cd/,True,Pakistan,26 Jan 2026,133628621
Invitation to Bid Procurement of Aircraft Part on Repair / O,133628620,Pakistan,29 Jan 2026,Tender,Invitation to Bid Procurement of Aircraft Part on Repair / O,Self Financed,Public,Refer Document,[Login Required],[Login Required],[Login Required],"PAKISTAN AIRPORTS AUTHORITY (PAA) has floated a tender for Invitation to Bid Procurement of Aircraft Part on Repair / O. The project location is Pakistan and the tender is closing on 29 Jan 2026. The tender notice number is -, while the TOT Ref Number is 133628620. Bidders can have further information about the Tender and can request the complete Tender document by",https://www.tendersontime.com/tenders-details/invitation-bid-procurement-aircraft-part-repair-o-7f702cc/,True,Pakistan,29 Jan 2026,133628620
