tender_no,title,organization,status,closing_date
,"Purchase / Repair,etc..","Pakistan Airforce,Islamabad, Pakistan",,"Jan 13, 2026"
,Hiring of Consultant,"Cantonment Board,Quetta city, Pakistan",,"Jan 13, 2026"
,"Civil Works ,etc..","Ministry of Planning, Development and Reform,Islamabad, Pakistan",,"Jan 13, 2026"
,Annual Repair & Maintenance,"Estate Office,Quetta city, Pakistan",,"Jan 13, 2026"
,"Annual Repair,etc..","Estate Office,Karachi central, Pakistan",,"Jan 13, 2026"
,"Stationery Items,etc..","HQ 1 Corps,Mangla, Pakistan",,"Jan 13, 2026"
AM-19398-IA,Procurement of API Coupling Procurement of API Coupling..,"Pakistan State Oil,Karachi central, Pakistan",,"Jan 13, 2026"
OP-19389-AA,Services Required for Testing of EH&S Parameters,"Pakistan State Oil,Karachi east, Pakistan",,"Jan 13, 2026"
,Misc Items .. Misc Items..,"HQ 1 Corps,Mangla, Pakistan",,"Jan 13, 2026"
BD/0015/MNR,Procurement of Laptops,"PSO Renewable Energy Pvt. Limited,Karachi central, Pakistan",,"Jan 13, 2026"
600-PPRA/63/E6,"Repair/ Maint/ Repl/renov,etc..","Military Engineering Services (Army),Rawalpindi, Pakistan",,"Jan 13, 2026"
12082,INVITATION OF APPLICATIONS FOR PRE-QUALIFICATION OF CONSTRUC,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Jan 13, 2026"
504-A/DP/09/E5,Repair / Maint/ Repl & Renov Works,"Military Engineering Services (Army),Rawalpindi, Pakistan",,"Jan 13, 2026"
8106/08/R&D,Auction,"Ordnance Unit,Multan, Pakistan",,"Jan 13, 2026"
2037,Furniture Items..,"Garrison Headquarters,Peshawar, Pakistan",,"Jan 13, 2026"
53 To 57/2025,"Misc Items,etc..","Public Sector Organization,Faisalabad, Pakistan",,"Jan 13, 2026"
Ref No.PMDC /Pro-Exc Trns Model MIne/Khewra,Trns Carriage of Rock Salt Western Hill Model Mine Khewra,"Pakistan Mineral Development Corporation(PMDC),Islamabad, Pakistan",,"Jan 13, 2026"
03- PASTIC/PQ/2025-26,"Printing Material,etc..","Pakistan Scientific and Technological Information Centre (PASTIC),Islamabad, Pakistan",,"Jan 13, 2026"
12076,INVITATION TO BID PROCUREMENT/ INSTALLATION OF SHARED SCREEN,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Jan 13, 2026"
53 (16) General-2025,"Special Repair ,etc...","Estate Office,Karachi central, Pakistan",,"Jan 13, 2026"
53 (16) General-2025,"Annual Repair,etc...","Military Estates Office,Karachi central, Pakistan",,"Jan 13, 2026"
12081,INVITATION TO BID PROCUREMENT OF ADVANCE LIFE SAVING AMBULAT,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Jan 13, 2026"
37 & 38,"Laying of LT Ground Cable,etc..","Islamabad Electric Supply Company (IESCO),Islamabad, Pakistan",,"Jan 13, 2026"
WAH/CIVIL/004/2025-26,Repair & Installation Works,"Sui Northern Gas Pipelines Limited,Wah Cantt, Pakistan",,"Jan 13, 2026"
12074,INVITATION TO BID ANNUAL RATE RUNNING CONTRACT OF SUPPLY OF,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Jan 13, 2026"
Auction of Spectrum for Next Generation Mobile Services (NGMS)/5G,Auction,"Pakistan Telecommunication Authority,Islamabad, Pakistan",,"Jan 13, 2026"
1800-31-Advt-GMC,Notice of Tender Hiring of Engineering Consultancy Services for Design (G+7),"Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Jan 13, 2026"
E/N-2(330)/2026,MAINTENANCE / REPLACEMENT OF DAMAGED PORTION OF QUAY WALL NO,"Karachi Port Trust,Karachi central, Pakistan",,"Jan 13, 2026"
LET/002/26,PHOTOCOPY MACHINE,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 13, 2026"
DNS/10902,Supply of Spares Compound Hony Wax,"Ministry of Defence Production (DGDP),London, United kingdom",,"Jan 12, 2026"
07/Legal-Advisor/JMC/2026,"PROCUREMENT OF LEGAL ADVISORY SERVICES Intends to engage a Legal Advisor (individual or firm) with proven experience in handling corporate, contractual, regulatory, and compliance matters, particularly in the context of public sector operations.","Ministry of National Health Services, Regulation & Coordination,Islamabad, Pakistan",,"Jan 12, 2026"
SWL/T.E/001/2026,SWL/T.E/001/2026 PROCUREMENT OF ELECTRICAL MATERIAL,"Sui Northern Gas Pipelines Limited,Faisalabad, Pakistan",,"Jan 12, 2026"
JPCL/2025/IA/01,Hiring of Internal Audit Firm For Conduct Internal Audit Tender Documents Attached for TOR,"Jamshoro Power Company Limited,Sehwan, Pakistan",,"Jan 12, 2026"
Tender 150/KTDMC/2025-26,Hiring of Contractor for Retrofitting Works on CNC Machine Single Stage - Single Envelop Procedure,"Karachi Tools, Dies and Moulds Centre (KTDMC),Karachi central, Pakistan",,"Jan 12, 2026"
12080,TENDER NOTICE MISCELLANEOUS ELECTRICAL WORKS IN HOUSE NO. C-,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Jan 12, 2026"
NADRA-HQ-RFB-3/2026,Procurement of Additional PAM Node License at DR Site,"National Database and Registration Authority NADRA,Islamabad, Pakistan",,"Jan 12, 2026"
12079,INVITATION TO BID SUPPLY OF POTABLE WATER THROUGH WATER TANK,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Jan 12, 2026"
12075,TENDER NOTICE (REVERSE PROCUREMENT) BUSINESS OPPORTUNITY AT,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Jan 12, 2026"
12073,INVITATION TO BID PROCUREMENT OF ALL IN ONE COLLABORATION &,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Jan 12, 2026"
CLP/IT/1091,PROCUREMENT OF MISC SPARES AND GOODS Normal Tender,"Pakistan Navy,Karachi west, Pakistan",,"Jan 12, 2026"
"0059-LP-55, 0099/0059/0012/0033/0045/0051/0052-LP-56-Fill",Supply of Misc Store Filling Factory POF Wah Cantt,"Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Jan 12, 2026"
LET/171/25,Electric Vehicle,"Sui Northern Gas Pipelines Limited,Lahore city, Pakistan",,"Jan 12, 2026"
,"Repair maintenance of AFOAS,etc....","HQ 23 Brigade,Jhelum, Pakistan",,"Jan 12, 2026"
