Notice_ID,Title,Reference,UN_Organization,Published_Date,Deadline,Type,Country,Sustainability,Beneficiary_Country,Contact_Name,Contact_Email,Contact_Address,UNSPSC_Codes,Documents,Description,Detail_URL
288034,RFP_Communications and Campaigns for SDG Localisation 2.0 Project,UNDP-THA-00198,UNDP,31-Dec-2025,14-Jan-2026 04:00 (GMT -5.00),Request for proposal,Thailand,No,"countries or territories:
Thailand","Email address:
procurement.th@undp.org
Surname:
Procurement Unit",procurement.th@undp.org,,,,"Please indicate whether you intend to submit a bid by creating a draft response without submitting directly in the system. This will enable the system to send notifications in case of amendments of the tender requirements. Should you require further clarifications, kindly communicate using the messaging functionality in the system. Offers must be submitted directly in the system following this link: http://supplier.quantum.partneragencies.org using the profile you may have in the portal. In case you have never registered before, you can register a profile using the registration link shared via the procurement notice and following the instructions in guides available in UNDP website: https://www.undp.org/procurement/business/resources-for-bidders. Do not create a new profile if you already have one. Use the forgotten password feature in case you do not remember the password or the username from previous registration. Search for the specific tender using search filters and subscribe to the tender in order to get notifications in case of amendments of the tender document. If you need support with the online system, you can contact the contact details of this tender as indicated in the solicitation document. PROCUREMENT UNIT UNDP THAILAND",https://www.ungm.org/Public/Notice/288034
288251,IT equipment to support mobile ATM for public administration in Quang Tri,"UNDP-VNM-01925,1",UNDP,07-Jan-2026,14-Jan-2026 05:00 (GMT -5.00),Request for quotation,Viet Nam,No,"countries or territories:
Viet Nam","Email address:
procurement.vn@undp.org
Surname:
Procurement Unit",procurement.vn@undp.org,,,,"UNDP Viet Nam request suppliers to submit their quotations for the provision of IT Equipment to support mobile ATM for public administration in Quang Tri province Delivery Address: UBND xã Khe Sanh, 130 Lê Duẩn, xã Khe Sanh, Quảng Trị. Interested suppliers must submit their offer directly in the system as instructed in the solicitation document, following the instructions in the available user guide. In case you have never registered before, you can register a profile using the registration link shared via the procurement notice and following the instructions in guides available in the UNDP website: https://www.undp.org/procurement/business/resources-for-bidders. Do not create a new profile if you already have one. Use the forgotten password feature in case you do not remember the password or the username from previous registration. Search for the specific tender using search filters and subscribe to the tender in order to get notifications in case of amendments of the tender document. If you need support with the online system, you can contact the contact details of this tender as indicated in the solicitation document. UNDP Viet Nam - Procurement Unit",https://www.ungm.org/Public/Notice/288251
286929,Contracting a Training Firm/Agency for Economic Journalists Capacity Development,"UNDP-BGD-01062,1",UNDP,11-Dec-2025,14-Jan-2026 05:30 (GMT -5.00),Request for proposal,Bangladesh,No,"countries or territories:
Bangladesh","Email address:
bd.procurement@undp.org
Surname:
BD procurement",bd.procurement@undp.org,,,,"Please indicate whether you intend to submit a bid by creating a draft response without submitting directly in the system. This will enable the system to send notifications in case of amendments of the tender requirements. Should you require further clarifications, kindly communicate using the messaging functionality in the system. Offers must be submitted directly in the system following this link: http://supplier.quantum.partneragencies.org using the profile you may have in the portal. In case you have never registered before, you can register a profile using the registration link shared via the procurement notice and following the instructions in guides available in UNDP website: https://www.undp.org/procurement/business/resources-for-bidders. Do not create a new profile if you already have one. Use the forgotten password feature in case you do not remember the password or the username from previous registration. The pre-proposal meeting will be held on 14 December2025, at 2:00 PM (Bangladesh Local time). Please join by using the following credentials: Join Zoom Meeting https://undp.zoom.us/j/89806602541 Search for the specific tender using search filters and subscribe to the tender in order to get notifications in case of amendments of the tender document. If you need support with the online system, you can contact the contact details of this tender as indicated in the solicitation document. [UNDP OFFICE BANGLADESH PROCUREMENT UNIT]",https://www.ungm.org/Public/Notice/286929
287709,LBN/CO/RFP/272/25 Provision of Services for Perception Surveys on Social Tension,UNDP-LBN-01244,UNDP,23-Dec-2025,14-Jan-2026 08:00 (GMT -5.00),Request for proposal,Lebanon,No,"countries or territories:
Lebanon","Email address:
lb.bidding@undp.org
Surname:
procurement unit",lb.bidding@undp.org,,,,Provision of Services for Perception Surveys on Social Tensions throughout Lebanon RFP No.:LBN/CO/RFP/272/25,https://www.ungm.org/Public/Notice/287709
287849,Retender - Supply and Delivery of Water Meters to Multiple Cities in Yemen - YUSIEP AF,RFQ/2025/60837,UNOPS,24-Dec-2025,14-Jan-2026 09:00 (GMT 0.00),Request for quotation,Yemen,No,"countries or territories:
Yemen",,,,,All LOTS - RFQ_Section_III_Returnable_Bidding_Forms.docx; ALL LOTS _RFQ_Section_II_Schedule_of_Requirements..docx; General_conditions_goods (Sep. 2024).pdf; LOT 1 - Price Quotation.xlsx; LOT 2 - Price Quotation.xlsx; LOT 3 - Price Quotation.xlsx; PO Templet.PDF; RFQ_Section 1_ Instruction to Bidders.pdf; Download all documents,"Retender - Supply and Delivery of Water Meters to Multiple Cities in Yemen - YUSIEP AF: LOT 1: Re-tender - IUS-AF-UWS-SAY-004-1- Supply and Delivery of Bulk Water Meters to Sayoun (LWSC), Yemen. LOT 2: Re-tender - IUS-AF-UWS-SAY-004-2- Supply and Delivery of Bulk Water Meters to Sayoun (LWSC), Yemen. LOT 3: Re-tender - IUS-AF-UWS- ADN-023-2- Supply and Delivery of Portable Ultrasonic Water Meters to Aden (LWSC), Yemen ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- IMPORTANT NOTE: Interested vendors must respond to this tender using the UNOPS eSourcing system, via the UNGM portal. In order to access the full UNOPS tender details, request clarifications on the tender, and submit a vendor response to a tender using the system, vendors need to be registered as a UNOPS vendor at the UNGM portal and be logged into UNGM. For guidance on how to register on UNGM and submit responses to UNOPS tenders in the UNOPS eSourcing system, please refer to the user guide and other resources available at: https://esourcing.unops.org/#/Help/Guides",https://www.ungm.org/Public/Notice/287849
287877,"RFQ - Procurement of Hospital Furniture (Height adjustable table for slit lamp, Bedside Cabinet with Over Bed Table and Hospital Swivel Stool) for Sehul Hospital, Addis Ababa, Ethiopia",RFQ/2025/60845,UNOPS,26-Dec-2025,14-Jan-2026 09:00 (GMT 0.00),Request for quotation,Multiple destinations,No,"countries or territories:
Multiple destinations (see the Countries or territories tab)",,,,,RFQ_2025_60845 _Section_I_Instructions to Bidders.pdf; RFQ_2025_60845 _Section_IV_GCC Goods Services.docx; RFQ_2025_60845_Section III _Returnable Bidding Forms_Hospital Furniture (1) (1) (1).docx.pdf; Revised RFQ_2025_60845 _Form D_Technical Quotation Form_Hospital Furniture (1) (3).xlsx; Revised RFQ_2025_60845_Section II_ Schedule of Requirements_Hospital Furniture (1) (1) (1).docx; Download all documents,"The United Nations Office for Project Services (hereinafter referred to as UNOPS) is pleased to invite prospective bidders to submit bid for Supply of RFQ - Procurement of Hospital Furniture (Height adjustable table for slit lamp, Bedside Cabinet with Over Bed Table and Hospital Swivel Stool) for Sehul Hospital, Addis Ababa, Ethiopia in accordance with the UNOPS General Conditions of Contract and the Schedule of Requirements as set out in this Request for Qoutation (RFQ). ----- IMPORTANT NOTE: Interested vendors must respond to this tender using the UNOPS eSourcing system, via the UNGM portal. In order to access the full UNOPS tender details, request clarifications on the tender, and submit a vendor response to a tender using the system, vendors need to be registered as a UNOPS vendor at the UNGM portal and be logged into UNGM. For guidance on how to register on UNGM and submit responses to UNOPS tenders in the UNOPS eSourcing system, please refer to the user guide and other resources available at: https://esourcing.unops.org/#/Help/Guides Interested in improving your knowledge of what UNOPS procures, how we procure and how to become a vendor to supply to our organization? Learn more about our free online course on “Doing business with UNOPS” here",https://www.ungm.org/Public/Notice/287877
288043,"Procurement of Urological Care and Orthopedic Surgery Equipment for Suhul Hospital, Shire, Tigray, Ethiopia",RFQ/2025/60876,UNOPS,31-Dec-2025,14-Jan-2026 09:00 (GMT 0.00),Request for quotation,Ethiopia,No,"countries or territories:
Ethiopia",,,,,"Annex I _ Acceptable Documentation from Regulatory Authority of the Global Harmonization Task Force (GHTF ) Founding Members.docx; Form D_ Technical Bid Form - Urological, Neurology care and Orthopedic surgery Equipment for Suhul Hospital RFQ_2025_60876.xlsx; Section I_ Instructions to Bidders_RFQ_2025_60876.pdf; Section II_ Schedule of Requirements_RFQ_2025_60876.pdf; Section III_ Returnable Bidding Forms_RFQ_2025_60876.docx; Section_ IV_ Goods Services _RFQ_2025_60876.pdf; Download all documents","Tender description: Request for Quotation for the supply and delivery of Procurement of Urological Care and Orthopedic Surgery Equipment for Suhul Hospital. ----- IMPORTANT NOTE: Interested vendors must respond to this tender using the UNOPS eSourcing system, via the UNGM portal. In order to access the full UNOPS tender details, request clarifications on the tender, and submit a vendor response to a tender using the system, vendors need to be registered as a UNOPS vendor at the UNGM portal and be logged into UNGM. For guidance on how to register on UNGM and submit responses to UNOPS tenders in the UNOPS eSourcing system, please refer to the user guide and other resources available at: https://esourcing.unops.org/#/Help/Guides Interested in improving your knowledge of what UNOPS procures, how we procure and how to become a vendor to supply to our organization? Learn more about our free online course on “Doing business with UNOPS” here",https://www.ungm.org/Public/Notice/288043
288105,Construction Tools,30000018408,IOM,04-Jan-2026,14-Jan-2026 10:00 (GMT 0.00),Request for quotation,Afghanistan,No,"countries or territories:
Afghanistan","Email address:
iomkabulprocurement@iom.int
First name:
iomkabulprocurement@iom.int
Surname:
iomkabulprocurement@iom.int",iomkabulprocurement@iom.int,,,,"Request Quotation for Purchase of Construction Tools with Delivery to the IOM Warehouse in Qasaba main road, Kabul Afghanistan. Note for Vendors Outside Afghanistan: The RFQ is open to vendors who have a valid business license and are legally registered to operate in Afghanistan. Non-compliance with this advisory will result in the quotation being rejected at the preliminary stage.",https://www.ungm.org/Public/Notice/288105
288273,Call for External Collaborator – Programme and Operations Support Consultant (Better Work),rfx_3833_ROAP,ILO,07-Jan-2026,14-Jan-2026 10:00 (GMT 1.00),Call for individual consultants,Switzerland,No,"countries or territories:
Switzerland",,,,,ILO e-Sourcing - EXCOLL Supplier User Guide_English.pdf; ILO e-Sourcing - EXCOLL Supplier User Guide_Spanish.pdf; ILO e-Sourcing - EXCOLL Supplier User Guide_French.pdf; Download all documents,"To support the Better Work Global team and various country programmes with programming and operational tasks in order to ensure workplans are implemented, donor requirements fulfilled, and country teams supported, we are seeking an external collaborator for a duration of eleven months. The external collaborator will support the programme at Global and country programme level on operational, programming, and strategic tasks under the following workstreams: Support on Better Work programming and donor relations related work. Remote support to select Better Work country programmes (incl. Uzbekistan, Sri Lanka, and potential others). Supporting Better Work Global operational support needs.",https://www.ungm.org/Public/Notice/288273
286596,LTA prestation de services de nettoyage pour le PNUD et agences SNU,UNDP-DZA-00247,UNDP,08-Dec-2025,14-Jan-2026 11:00 (GMT -5.00),Request for proposal,Algeria,No,"countries or territories:
Algeria","Email address:
algeria.procurement@undp.org
Surname:
Algeria Procurement",algeria.procurement@undp.org,,,,"Veuillez indiquer si vous avez lintention de soumettre une offre en créant un projet de réponse sans la soumettre directement dans le système. Cela permettra au système denvoyer des notifications en cas de modifications des exigences de lappel doffres. Si vous avez besoin de précisions supplémentaires, veuillez communiquer en utilisant la fonctionnalité de messagerie du système. Les offres doivent être soumises directement dans le système en suivant ce lien : http://supplier.quantum.partneragencies.org en utilisant le profil que vous avez éventuellement sur le portail. Si vous ne vous êtes jamais inscrit auparavant, vous pouvez enregistrer un profil en utilisant le lien dinscription partagé via lavis de marché et en suivant les instructions des guides disponibles sur le site Web du PNUD : https://www.undp.org/procurement/business/resources-for-bidders. Ne créez pas de nouveau profil si vous en avez déjà un. Utilisez la fonction de mot de passe oublié si vous ne vous souvenez pas du mot de passe ou du nom dutilisateur de linscription précédente. Recherchez loffre spécifique à laide des filtres de recherche et abonnez-vous à loffre afin de recevoir des notifications en cas de modifications du document dappel doffres. Si vous avez besoin daide avec le système en ligne, vous pouvez contacter les coordonnées de cet appel doffres comme indiqué dans le document de sollicitation. Unité Procurement PNUD Algérie",https://www.ungm.org/Public/Notice/286596
