reference_number,title,category,location,tor_document,application_form,source_page
653,211 TOR Financial Monitoring Expert Billion Tree Afforestation (BTASP),Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/653-16318-211 TOR Financial Monitoring Expert Billion Tree Afforestation (BTASP) .pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
652,Tors 210 Wildlfie Crime Monitoring Trainer,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/652-45402-Tors 210 Wildlfie Crime Monitoring Trainer.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
651,Tors 209 Support implementation of SMART in Deva Vital National Park,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/651-85977-Tors 209 Support implementation of SMART in Deva Vital National Park.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
650,Tors 208 Rangers Safety and Well Being,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/650-78293-Tors 208 Rangers Safety and Well Being.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
649,207 TORS Enhance awareness skills,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/649-59812-207 TORS Enhance awareness skills.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
648,204 tors Hydrological Study RYK,Assessment/Study,RYK,http://wwf.org.pk/eoffice/consultancy/consultupload/648-30326-204 tors Hydrological Study RYK.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
647,203 TOR External Audit,Audit,,http://wwf.org.pk/eoffice/consultancy/consultupload/647-48357-203 TOR External Audit.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
646,201 TOR External Audit 25,Audit,,http://wwf.org.pk/eoffice/consultancy/consultupload/646-62246-201 TOR External Audit 25.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
644,199 TORs Smart project Gender,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/644-89605-199 TORs Smart project Gender.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
643,198 Tors NTFP training,Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/643-61922-198 Tors NTFP training .pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
642,196 ToRs Third party Validation,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/642-57216-196 ToRs Third party Validation.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
641,195 Animated video RPLC,General,,http://wwf.org.pk/eoffice/consultancy/consultupload/641-24574-195 Animated video RPLC.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
640,194 GIS MAPS TORs,GIS/Mapping,,http://wwf.org.pk/eoffice/consultancy/consultupload/640-51677-194 GIS MAPS TORs.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
639,193 TORs Develop of communication products designing,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/639-23964-193 TORs Develop of communication products designing .pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
638,192 TORs Photograpgy of WRAP in GB,Consultancy,GB,http://wwf.org.pk/eoffice/consultancy/consultupload/638-8241-192 TORs Photograpgy of WRAP in GB.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
637,191 Tors training on skill development,Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/637-71388-191 Tors training on skill development .pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
636,190 (ToRs) Consultancy Services for the Development of Communication Mater,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/636-73808-190 (ToRs) Consultancy Services for the Development of Communication Mater.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
634,ToRs Biodiversity Assessment GSK,Assessment/Study,,http://wwf.org.pk/eoffice/consultancy/consultupload/634-85748-188-ToRs Biodiversity Assessment GSK Final.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
633,TOR Capacity Building Expert Billion Tree Afforestation Support Project (BTASP),Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/633-4711-187-TOR-Capacity Building Expert- Billion Tree Afforestation Support Project (BTASP) (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
632,TOR Photgrpahy 15 OCT,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/632-74791-182-TOR-Photgrpahy-15 OCT.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
631,TORs for Consultancy for Training on NTFP (1),Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/631-1819-186-TORs for Consultancy for Training on NTFP (1) (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
630,TORs Development of communication products,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/630-10963-185-TORs-Development of communication products.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
628,24536 178 TORs PrepartionofReports vF,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/628-65528-628-24536-178-TORs_PrepartionofReports_vF.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
627,TORs for Consultancy for Training on NRM,Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/627-57998-175-TORs for Consultancy for Training on NRM (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
626,Audit Term of Reference PF & GF 23 9 2025,Audit,,http://wwf.org.pk/eoffice/consultancy/consultupload/626-97994-173-Audit Term of Reference-PF & GF-23-9-2025.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
625,TORs TNC Reporting Socktaking Exercise (1),Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/625-77833-172-TORs TNC Reporting Socktaking Exercise (1) (2).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
624,TORs WQT,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/624-1311-171-TORs- WQT (2).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
623,TORs Miyawaki Urban Forest at Agha Khan Foundation School (2),Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/623-22998-170-TORs- Miyawaki Urban Forest at Agha Khan Foundation School (2)_compressed.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
622,TORs Strengthen CBOs & WUGs across Recharge Pakistan targetted sites (2),Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/622-10396-169-TORs-Strengthen CBOs  &  WUGs across Recharge Pakistan targetted sites (2)_compressed.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
621,TOR SMEP LCA and LCC of 1m2 of finished Bovine leather of Pakistan,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/621-62228-168-TOR- SMEP LCA and LCC of 1m2 of finished Bovine leather of Pakistan.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
617,617 90727 164 TORs for SMART Project Revised,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/617-90443-164-617-90727-164-TORs for SMART Project Revised.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
616,616 95792 163 TORs GIS Maps 2025,GIS/Mapping,,http://wwf.org.pk/eoffice/consultancy/consultupload/616-29410-163-616-95792-163-TORs-GIS Maps 2025 (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
615,"ToRs Identification, Mapping and Profiling of Potential Groundwater Recharge Zones in Different Areas of Karachi",GIS/Mapping,Karachi,"http://wwf.org.pk/eoffice/consultancy/consultupload/615-25848-162-ToRs-Identification, Mapping and Profiling of Potential Groundwater Recharge Zones in Different Areas of Karachi.pdf",https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
614,TORs GIS Maps and Capacity Building 2025,GIS/Mapping,,http://wwf.org.pk/eoffice/consultancy/consultupload/614-4539-161-TORs-GIS Maps and Capacity Building 2025 (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
613,ToRs Hydrogeological Assessment of S.I.T.E & Korangi Industrial Area Karachi,Assessment/Study,Karachi,http://wwf.org.pk/eoffice/consultancy/consultupload/613-73456-160-ToRs Hydrogeological Assessment of S.I.T.E & Korangi Industrial Area Karachi.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
612,"TORs Training report writing, data mangement and KNowledge management )",Training,,"http://wwf.org.pk/eoffice/consultancy/consultupload/612-24696-159-TORs- Training report writing, data mangement and KNowledge management ) (2).pdf",https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
611,RFP for training on Nature based solutions,Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/611-25151-158-RFP for training on Nature based solutions (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
610,TORs for training on Value chain (4),Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/610-65729-157-TORs- for training on Value chain (4) (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
609,TORs SMARt Training and Manual IWT INL,Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/609-89996-155-TORs-SMARt Training and Manual-IWT-INL.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
608,TORs Train project communities on grafting WRAP,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/608-52904-154-TORs-Train project communities on grafting-WRAP.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
606,ToRs for Social Mobilization,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/606-48903-152-ToRs for Social Mobilization.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
605,TOR External Audit IKEA+RPLC (2) c,Audit,,http://wwf.org.pk/eoffice/consultancy/consultupload/605-24127-150-TOR-External Audit IKEA+RPLC (2)_c.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
604,TORs Hydrologist Chitral KP 2025,GIS/Mapping,Chitral,http://wwf.org.pk/eoffice/consultancy/consultupload/604-46384-149-TORs-Hydrologist-Chitral-KP-2025.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
603,TORs Mammologist Chitral KP 2025,GIS/Mapping,Chitral,http://wwf.org.pk/eoffice/consultancy/consultupload/603-57324-148-TORs--Mammologist-Chitral-KP-2025.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
602,TORs Herpetologist Chitral KP 2025,GIS/Mapping,Chitral,http://wwf.org.pk/eoffice/consultancy/consultupload/602-32644-147-TORs-Herpetologist-Chitral-KP-2025.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
601,TORs Botanist Chitral KP 2025,Consultancy,Chitral,http://wwf.org.pk/eoffice/consultancy/consultupload/601-69712-146-TORs--Botanist-Chitral-KP-2025.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
600,TORs Aquatic Ecologist Chitral KP 2025,GIS/Mapping,Chitral,http://wwf.org.pk/eoffice/consultancy/consultupload/600-23668-145-TORs--Aquatic Ecologist-Chitral-KP-2025 (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
599,RFP for Assessing the carbon sequestration of peatlands in the selectied sites fo GB & Chitral (1),General,Chitral,http://wwf.org.pk/eoffice/consultancy/consultupload/599-64103-144-RFP for Assessing the carbon sequestration of peatlands in the selectied sites fo GB & Chitral  (1) (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
597,TORs for Eco Tourism Management Plan,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/597-28564-142-TORs for Eco Tourism Management Plan (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
596,TORs Translator,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/596-11299-TORs-Translator (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
595,TOR Develop NbS Training Module and Conduct Trainings. (1) (1),Training,,http://wwf.org.pk/eoffice/consultancy/consultupload/595-24948-TOR-Develop NbS Training Module and Conduct Trainings. (1) (1) (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
594,ABNJ LLG Conversion ToRs,Consultancy,,http://wwf.org.pk/eoffice/consultancy/consultupload/594-66341-ABNJ_LLG Conversion ToRs (1).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
593,TORs for Consultancy IWRM and Flood Drought Plan of Khushab Punjab,Consultancy,Punjab,http://wwf.org.pk/eoffice/consultancy/consultupload/593-95452-TORs for Consultancy IWRM and Flood-Drought Plan of Khushab Punjab (2).pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
592,1.RFP TORs Aquatic Ecologist Palas 25,GIS/Mapping,,http://wwf.org.pk/eoffice/consultancy/consultupload/592-17688-1.RFP_TORs-Aquatic Ecologist-Palas-25.pdf,https://forms.office.com/e/sxNStCNxPM,https://wwf.org.pk/consultancy/
